level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@AssociatedPress,videos,F5_controlled,9,0.467,0.2054,-0.1594,-0.1458
creator,@AssociatedPress,videos,F6_controlled,9,-0.067,0.8647,-0.4708,-0.5917
creator,@AssociatedPress,videos,F7_controlled,9,-0.633,0.0671,1.5657,1.2505
creator,@AssociatedPress,videos,F8_controlled,9,0.467,0.2054,-0.0103,-0.0075
creator,@AssociatedPress,videos,F9_controlled,9,0.333,0.3807,-0.0187,0.1022
creator,@AssociatedPress,videos,F10_controlled,9,-0.283,0.46,0.4497,0.368
creator,@AssociatedPress,videos,F11_controlled,9,0.233,0.5457,0.0353,0.118
creator,@AssociatedPress,videos,F12_controlled,9,-0.083,0.8312,0.3564,0.3929
creator,@AssociatedPress,videos,curiosity_gap,9,0.15,0.7001,0.0134,0.0109
creator,@AssociatedPress,videos,outrage,9,-0.5,0.1705,0.2927,0.2149
creator,@AssociatedPress,videos,humor,9,-0.496,0.1743,0.003,0.0
creator,@BBCNews,videos,F1_controlled,9,-0.617,0.0769,0.3938,0.1899
creator,@BBCNews,videos,F2_controlled,9,-0.133,0.7324,0.5621,0.4672
creator,@BBCNews,videos,F3_controlled,9,0.4,0.2861,-0.6448,-0.5663
creator,@BBCNews,videos,F4_controlled,9,0.117,0.765,-0.2139,-0.0401
creator,@BBCNews,videos,F5_controlled,9,0.65,0.0581,1.1576,1.2193
creator,@BBCNews,videos,F6_controlled,9,-0.783,0.0125,-0.2378,-0.7016
creator,@BBCNews,videos,F7_controlled,9,-0.467,0.2054,1.2645,1.0829
creator,@BBCNews,videos,F8_controlled,9,0.583,0.0992,-0.0445,0.3286
creator,@BBCNews,videos,F9_controlled,9,0.067,0.8647,-0.085,-0.162
creator,@BBCNews,videos,F10_controlled,9,-0.533,0.1392,0.3281,-0.1726
creator,@BBCNews,videos,F11_controlled,9,0.133,0.7324,-0.4663,-0.5109
creator,@BBCNews,videos,F12_controlled,9,-0.45,0.2242,0.737,0.386
creator,@BBCNews,videos,curiosity_gap,9,0.3,0.4328,0.1,0.0603
creator,@BBCNews,videos,outrage,9,-0.35,0.3558,0.3,0.2837
creator,@BBCNews,videos,humor,9,,,0.0,0.0
creator,@CBSNews,streams,F1_controlled,9,0.083,0.8312,0.1143,0.0528
creator,@CBSNews,streams,F2_controlled,9,0.517,0.1544,1.678,1.2691
creator,@CBSNews,streams,F3_controlled,9,-0.233,0.5457,-0.3638,-0.2571
creator,@CBSNews,streams,F4_controlled,9,0.7,0.0358,-0.3615,-0.162
creator,@CBSNews,streams,F5_controlled,9,0.333,0.3807,-0.4718,-0.3856
creator,@CBSNews,streams,F6_controlled,9,0.05,0.8984,-0.061,-0.1785
creator,@CBSNews,streams,F7_controlled,9,-0.167,0.6682,2.4786,2.7524
creator,@CBSNews,streams,F8_controlled,9,0.283,0.46,-0.0625,-0.0655
creator,@CBSNews,streams,F9_controlled,9,0.5,0.1705,-1.0931,-0.7602
creator,@CBSNews,streams,F10_controlled,9,0.25,0.5165,-0.8516,-1.0369
creator,@CBSNews,streams,F11_controlled,9,-0.133,0.7324,-0.266,-0.3244
creator,@CBSNews,streams,F12_controlled,9,-0.167,0.6682,1.0648,0.4872
creator,@CBSNews,streams,curiosity_gap,9,-0.357,0.3458,0.0204,0.0
creator,@CBSNews,streams,outrage,9,-0.85,0.0037,0.2653,0.0588
creator,@CBSNews,streams,humor,9,,,0.0,0.0
creator,@CBSNews,videos,F1_controlled,9,-0.3,0.4328,0.7807,0.6594
