term,n_titles,degree,strength,betweenness,community
tariffs,162,6,16.92201,0.01217,10
virginia,233,7,16.74996,0.00928,10
ruling,193,5,15.64969,0.00008,10
men,479,6,14.29800,0.00955,10
scotus,293,5,13.86928,0.00037,10
birthright,197,5,12.40722,0.00008,10
people,1080,7,11.97381,0.01855,10
team,238,3,9.88489,0.00130,10
birthright citizenship,165,4,9.85521,0.00008,10
hockey,77,3,9.81436,0.00130,10
citizenship,227,4,9.16908,0.00008,10
makes,449,3,8.20684,0.00009,10
victory,278,4,7.84095,0.00001,10
women,820,5,7.74223,0.00181,10
usa,175,2,7.47452,0.00000,10
decision,146,3,6.99604,0.00001,10
canada,470,3,6.82190,0.00113,10
announcement,168,2,6.74231,0.00000,10
college,157,2,6.41326,0.00092,10
young,184,2,5.14170,0.00059,10
can't,486,2,5.13427,0.00091,10
believe,306,2,4.88789,0.00115,10
map,88,1,2.98803,0.00000,10
redistricting,154,1,2.85061,0.00000,10
student,173,1,2.46058,0.00000,10
rules,112,1,2.30989,0.00000,10
appeal,72,1,1.71038,0.00000,10
election,931,21,39.73491,0.03899,11
california,654,17,37.87089,0.01418,11
mayor,461,12,32.07071,0.02643,11
race,421,9,23.89472,0.01284,11
la,263,8,23.76195,0.00167,11
pratt,279,8,18.71711,0.00314,11
bass,85,6,17.72673,0.00008,11
mayoral,59,5,17.04099,0.00008,11
spencer pratt,242,6,14.98422,0.00145,11
spencer,262,6,14.90317,0.00144,11
karen,115,4,10.53729,0.00000,11
governor,292,3,8.15953,0.00042,11
wife,201,3,7.54402,0.00000,11
newsom,455,3,6.83035,0.00121,11
ballots,98,2,6.80506,0.00092,11
stolen,109,2,6.78055,0.00261,11
gavin,251,3,6.51232,0.00121,11
gavin newsom,231,2,5.10766,0.00018,11
mail-in,54,1,4.73940,0.00000,11
land,111,1,3.75268,0.00000,11
results,68,1,3.27722,0.00000,11
steve hilton,81,1,3.17074,0.00000,11
hilton,121,1,3.00372,0.00000,11
seattle,74,1,2.79313,0.00000,11
chicago,135,1,2.76211,0.00000,11
georgia,139,1,2.44592,0.00000,11
steve,612,1,2.34613,0.00000,11
rigged,61,1,2.29145,0.00000,11
arizona,98,1,1.78127,0.00000,11
county,137,1,1.65283,0.00000,11
fulton county,75,1,1.58943,0.00000,11
dhs,442,13,36.72931,0.02623,12
secretary,360,13,34.60980,0.04661,12
update,511,8,23.09767,0.01066,12
hegseth,298,9,22.36832,0.02086,12
operation,333,5,13.17034,0.00194,12
epic fury,149,4,12.71993,0.00074,12
fury,181,4,12.55664,0.00074,12
bessent,186,4,10.98703,0.00936,12
shutdown,236,4,10.93540,0.00588,12
operation epic,109,3,10.68231,0.00000,12
tensions,143,3,10.45379,0.00261,12
husband,126,3,9.97605,0.00000,12
amid,438,4,9.06110,0.00616,12
caine,52,2,8.92551,0.00261,12
mullin,149,2,8.05265,0.00000,12
treasury,60,2,7.54014,0.00000,12
kristi,115,2,6.39228,0.00087,12
kristi noem,113,2,6.39228,0.00087,12
sec,113,2,6.33674,0.00013,12
noem,190,2,6.08759,0.00087,12
tsa,93,2,5.71749,0.00000,12
gen,327,1,5.21136,0.00000,12
epic,230,2,5.16646,0.00034,12
rise,153,1,4.82640,0.00000,12
rubio,361,2,4.75917,0.00256,12
gives,261,1,4.42983,0.00000,12
markwayne,73,1,3.56844,0.00000,12
markwayne mullin,70,1,3.56844,0.00000,12
israel,809,11,24.32409,0.01162,13
iranian,822,11,21.79771,0.01334,13
strikes,714,10,19.94020,0.00311,13
strike,343,7,15.80600,0.01201,13
attack,763,6,15.40496,0.01703,13
lebanon,143,4,13.76973,0.00009,13
military,655,6,13.25026,0.01257,13
ukraine,233,4,12.91850,0.00141,13
takes,407,3,12.84410,0.00353,13
drone,272,5,12.13077,0.00280,13
regime,448,5,11.56038,0.00562,13
russia,257,4,11.45905,0.00086,13
missile,184,4,8.69570,0.00844,13
ceasefire,270,4,8.29245,0.00093,13
israeli,212,3,8.21920,0.00009,13
hezbollah,99,2,8.17857,0.00000,13
action,224,2,7.17043,0.00612,13
aim,36,1,5.26297,0.00000,13
collapse,233,2,4.42350,0.00000,13
targets,216,2,4.36238,0.00000,13
synagogue,44,1,4.01939,0.00000,13
russian,153,1,4.00238,0.00000,13
turn,216,1,3.90657,0.00000,13
launches,268,2,3.84699,0.00000,13
base,117,1,3.06061,0.00000,13
leader,291,2,2.97659,0.00054,13
iranians,157,1,2.70563,0.00000,13
sen,401,10,35.12966,0.01516,14
fauci,555,13,29.97098,0.02320,14
death,470,6,13.99797,0.00684,14
johnson,212,3,13.85936,0.00261,14
ron,83,3,12.55528,0.00261,14
graham,481,5,11.99766,0.00820,14
scott,319,3,11.71811,0.00836,14
rick,65,2,9.37162,0.00000,14
covid,243,3,8.95704,0.00261,14
dr,560,3,6.55400,0.00498,14
paul,156,2,5.68234,0.00162,14
speaker,80,1,5.51873,0.00000,14
lindsey graham,225,2,5.49499,0.00084,14
lindsey,250,2,5.46402,0.00084,14
kennedy,110,1,5.01782,0.00000,14
fifth,76,2,4.90177,0.00000,14
pleads,98,2,4.87514,0.00000,14
vaccine,87,1,4.37117,0.00000,14
texts,62,1,3.53471,0.00000,14
desantis,60,1,3.37275,0.00000,14
schmitt,125,1,3.15489,0.00000,14
rand paul,65,1,2.54437,0.00000,14
rand,68,1,2.51072,0.00000,14
senator,275,1,2.14485,0.00000,14
artemis ii,121,7,23.76649,0.00004,15
artemis,142,7,23.61221,0.00004,15
nasa,118,5,17.06307,0.00001,15
mission,175,5,15.64111,0.00004,15
moon,98,4,13.77277,0.00001,15
ii,145,4,12.67817,0.00000,15
space,88,3,10.12243,0.00001,15
astronauts,38,2,7.64898,0.00000,15
ii crew,37,2,7.33942,0.00000,15
crew,81,2,7.01144,0.00000,15
rescue,158,1,3.58458,0.00000,15
trans,313,4,12.23660,0.00777,16
prices,217,3,11.63069,0.00323,16
school,246,3,11.07203,0.00313,16
wnba,274,4,10.53659,0.00445,16
high,161,2,8.37771,0.00078,16
shooter,130,2,7.86941,0.00097,16
athlete,38,1,4.68353,0.00000,16
energy,191,1,3.37545,0.00000,16
game,300,1,3.06503,0.00000,16
nba,70,1,2.81469,0.00000,16
sophie,75,1,2.46024,0.00000,16
don't,596,7,16.21436,0.00810,17
like,537,4,10.05065,0.00521,17
want,557,4,9.86329,0.00989,17
know,326,2,5.39466,0.00000,17
country,433,2,5.12508,0.00261,17
doesn't,277,2,3.94129,0.00469,17
looks,109,1,3.67077,0.00000,17
music,84,1,3.48047,0.00000,17
care,142,1,3.10563,0.00000,17
look,311,1,3.02351,0.00000,17
need,420,1,1.99796,0.00000,17
world,821,9,25.57637,0.01383,18
fans,138,4,14.32316,0.00269,18
fifa,50,3,13.81941,0.00084,18
world cup,167,3,10.33291,0.00117,18
cup,179,3,10.20860,0.00117,18
knicks,82,2,6.20665,0.00092,18
economic forum,24,1,3.60587,0.00000,18
forum,32,1,3.56775,0.00000,18
parade,56,1,3.23920,0.00000,18
stage,140,1,2.93571,0.00000,18
leaders,217,1,2.57786,0.00000,18
history,406,4,11.63297,0.00705,19
black,934,6,7.74631,0.01403,19
month,93,2,6.49655,0.00092,19
greatest,99,1,3.90377,0.00000,19
pride,110,1,3.39179,0.00000,19
biggest,223,1,3.26751,0.00000,19
americans,485,1,1.27318,0.00000,19
voters,241,1,1.14734,0.00000,19
racism,128,1,1.14164,0.00000,19
halftime,91,7,18.04948,0.00001,20
bad,338,5,12.05834,0.00001,20
bad bunny,71,4,9.96659,0.00000,20
bunny,75,4,9.96659,0.00000,20
super bowl,81,4,9.86817,0.00000,20
bowl,86,4,9.86590,0.00000,20
super,124,4,9.86109,0.00000,20
tpusa,134,1,3.15622,0.00000,20
nfl,117,1,2.40842,0.00000,20
worse,316,4,10.69792,0.00003,21
got,593,3,8.92865,0.00004,21
seen,159,2,8.43488,0.00001,21
we've,123,2,8.38814,0.00001,21
i've,81,1,3.85391,0.00000,21
getting,389,1,2.76714,0.00000,21
thought,251,1,2.68921,0.00000,21
think,324,1,2.49828,0.00000,21
caught,431,1,2.37818,0.00000,21
going,693,5,13.27194,0.00963,22
viral,463,3,8.42529,0.01143,22
really,491,2,4.70133,0.00261,22
clip,88,1,3.36060,0.00000,22
happen,124,1,3.28508,0.00000,22
we're,391,1,3.07562,0.00000,22
happened,352,1,2.77186,0.00000,22
you're,200,1,2.77083,0.00000,22
left,672,3,6.64776,0.00002,23
radical,244,2,6.14673,0.00001,23
islam,261,2,6.00374,0.00001,23
far,151,2,5.77361,0.00001,23
gone,150,1,3.22190,0.00000,23
west,187,1,2.81803,0.00000,23
right,757,1,1.13503,0.00000,23
law,377,4,12.56020,0.01213,24
center,213,3,11.27081,0.00521,24
obama,308,2,7.93186,0.00261,24
southern,94,2,7.82959,0.00000,24
sharia,115,2,6.96270,0.00238,24
presidential,106,1,3.96963,0.00000,24
warning,605,5,16.95466,0.00742,25
issues,356,3,9.56711,0.00130,25
chilling,163,2,8.02398,0.00000,25
sends,145,2,7.43779,0.00261,25
stark,29,1,4.27077,0.00000,25
message,292,1,4.18985,0.00000,25
real,762,3,6.45444,0.00001,26
story,402,2,5.79030,0.00000,26
time,556,2,5.73399,0.00001,26
shares,141,1,3.64042,0.00000,26
long,128,1,3.43121,0.00000,26
problem,287,1,2.00177,0.00000,26
uk,389,4,16.51414,0.00002,27
prime minister,73,1,4.93377,0.00000,27
prime,105,1,4.49032,0.00000,27
minister,130,1,3.98532,0.00000,27
starmer,128,1,3.10473,0.00000,27
brutal,267,3,8.78833,0.00000,28
reality check,73,1,3.00309,0.00000,28
check,142,1,2.97401,0.00000,28
reality,267,1,2.81123,0.00000,28
cartel,133,2,7.28217,0.00000,29
mexico,170,2,7.27184,0.00000,29
el,60,1,3.59017,0.00000,29
cartels,72,1,3.57984,0.00000,29
king charles,80,2,7.61178,0.00000,30
iii,29,2,7.33023,0.00000,30
charles iii,21,2,7.27181,0.00000,30
king,191,2,6.99026,0.00000,30
dui,37,3,14.69623,0.00001,31
tiger woods,46,1,4.94976,0.00000,31
woods,65,1,4.94976,0.00000,31
tiger,57,1,4.79671,0.00000,31
years,432,2,6.93423,0.00000,32
ago,59,1,3.66820,0.00000,32
prison,226,1,3.26603,0.00000,32
forever,119,2,6.67969,0.00000,33
change,308,1,3.83182,0.00000,33
changed,164,1,2.84787,0.00000,33
hantavirus,87,2,7.39073,0.00000,34
ship,103,1,3.78334,0.00000,34
cruise,63,1,3.60739,0.00000,34
washington,178,2,7.47558,0.00000,35
george,123,1,3.93168,0.00000,35
post,162,1,3.54390,0.00000,35
alarm,163,1,4.97331,0.00000,36
sound,60,1,4.97331,0.00000,36
allen,121,1,3.62634,0.00000,37
cole,67,1,3.62634,0.00000,37
armed,102,1,3.67884,0.00000,38
man,615,1,3.67884,0.00000,38
birth,92,1,4.33987,0.00000,39
tourism,63,1,4.33987,0.00000,39
body,112,1,5.90377,0.00000,40
language,58,1,5.90377,0.00000,40
boots,35,1,4.81018,0.00000,41
ground,179,1,4.81018,0.00000,41
bovino,51,1,3.66668,0.00000,42
greg,295,1,3.66668,0.00000,42
breaking,1020,1,2.65735,0.00000,43
point,247,1,2.65735,0.00000,43
cameras,78,1,3.76953,0.00000,44
flock,79,1,3.76953,0.00000,44
chinese,191,1,3.60030,0.00000,45
spy,64,1,3.60030,0.00000,45
cia,232,1,3.64730,0.00000,46
whistleblower,89,1,3.64730,0.00000,46
civilization,51,1,3.49177,0.00000,47
western,75,1,3.49177,0.00000,47
colbert,74,1,3.21547,0.00000,48
stephen,171,1,3.21547,0.00000,48
comey,116,1,2.73472,0.00000,49
indicted,90,1,2.73472,0.00000,49
daily,347,1,2.02680,0.00000,50
wire,77,1,2.02680,0.00000,50
davis,210,1,3.28013,0.00000,51
victor,91,1,3.28013,0.00000,51
destroyed,217,1,1.78819,0.00000,52
gets,696,1,1.78819,0.00000,52
elizabeth,42,1,4.71326,0.00000,53
warren,39,1,4.71326,0.00000,53
fed,173,1,4.14521,0.00000,54
warsh,44,1,4.14521,0.00000,54
fired,215,1,4.99537,0.00000,55
shots,50,1,4.99537,0.00000,55
gala,24,1,3.31875,0.00000,56
met,47,1,3.31875,0.00000,56
harry,53,1,3.60974,0.00000,57
meghan,45,1,3.60974,0.00000,57
instantly,60,1,3.70992,0.00000,58
regrets,53,1,3.70992,0.00000,58
jackson,100,1,2.83733,0.00000,59
michael,317,1,2.83733,0.00000,59
jesse,171,1,4.78824,0.00000,60
watters,236,1,4.78824,0.00000,60
kid,69,1,4.38515,0.00000,61
rock,93,1,4.38515,0.00000,61
loud,36,1,4.12055,0.00000,62
quiet,84,1,4.12055,0.00000,62
