creator,genre,month,n_titles,lane,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled
@ANINewsIndia,streams,2026-05,823,wire_international,0.7622982352086842,-0.012987671444509314,2.9267832733888484,-0.3318838746000114,-1.02940971528252,2.112220743185235,1.5999739650077267,0.38315480964688886,-0.28995828436791454,-0.4214463758765572,0.9293390885821703,0.7381696408732045,0.16591310703267806,0.011641299585461779,1.413862240014762,-0.0037438122038138404,-0.23997681629959597,0.8674917689939048,0.5254683108915383,-0.005708464764322531,0.2018122471223645,-0.732469799632756,-0.0640695867470217,0.45451187358892325
@ANINewsIndia,streams,2026-06,888,wire_international,0.5543022574946167,0.09113591322546423,3.2900818662715166,-0.24142376406726848,-0.9504719320098091,1.8161178263389535,1.2481463561460626,0.3010549799135518,-0.33922784442002935,-0.11204631353148607,0.8371965129832328,0.4796917628340263,-0.05870511213573088,0.1284668339087773,1.873713930047538,0.07138977159841496,-0.2134305437492898,0.685108853400807,0.1882514587013594,-0.13537252704901614,0.1322375326316275,-0.4767539460342311,-0.17926272556810688,0.14571258138310444
@ANINewsIndia,streams,2026-07,959,wire_international,0.7621577727800619,-0.16718809528859443,3.42382386349234,-0.2044593841241131,-0.9892973211830133,1.7594783262263296,1.101557467317559,0.35318023206527854,-0.3296023899523758,0.030360871651536718,0.8896137785378023,0.5188687722401671,0.14761167587993737,-0.14150004111008943,1.9886045180900858,0.10392341222570077,-0.2543621178720698,0.6960525874212302,-0.005547239906240183,-0.0823346641729437,0.12039761402510538,-0.32102022356784726,-0.09056866160089132,0.17677751866778016
@ANINewsIndia,streams,2026-08,1224,wire_international,0.2454419587868895,-0.1578219004791901,3.374938667189535,-0.31521572400487574,-1.012857869668735,1.533547130897387,0.8671323190090309,0.2591840158420866,-0.885887945551134,0.040104460692094626,0.8182351523987099,0.11520915036227487,-0.3980129446425048,-0.1264703432486507,1.833811161187664,0.04570838590639783,-0.21268226058956685,0.2676295499841146,-0.22055836310750274,-0.17670734300293833,-0.35748392682200214,-0.2551099598752187,-0.23900874147934917,-0.08233315828942431
@ANINewsIndia,streams,2026-09,656,wire_international,0.7009398848220775,-0.30657897973594744,3.410627512490985,-0.2536224556457169,-0.8674649878172748,1.5644273033641434,0.8230809199349921,0.48806947672207646,-0.5721236266864652,-0.08353645218932833,1.012791084946741,0.31414550380043854,0.032095600325689505,-0.30176358354820587,2.116191812787855,0.048048539148626175,-0.19572181445058945,0.7014478247245924,-0.34095474361047967,-0.04239302411319589,-0.1588789765518233,-0.4543477168088274,0.01710588301359925,-0.018806368359433074
@ANINewsIndia,videos,2026-01,1271,wire_international,0.6028959037846099,0.6424831680048513,-0.10405071052039919,-0.21242306160567737,-0.5874858318529237,0.6628602050071953,2.093764296413578,0.517154916460456,-0.41597084035162324,1.7759971253832123,1.4486103465991975,0.8176893687345685,0.35510703834194046,0.7098486498124801,-0.892183367284618,-0.006851194045271013,-0.1682829805200237,0.16305548247669155,1.1640370537723923,0.16473326581305356,-0.05857735341501571,1.241526912319623,0.73743371998123,0.31119745741167565
@ANINewsIndia,videos,2026-02,1517,wire_international,0.9569538831084613,0.6438619768349347,0.018691176331009654,-0.22918809611284666,-0.6415575167532502,0.6897074209845375,1.723712447120026,0.5757096177893753,-0.39319268113087,1.944500520809932,1.558854628940151,0.8862573502914981,0.5783991693854258,0.7045014258263477,-0.8814057829132808,-0.035894236743939927,-0.15259188812097924,0.11799786239517134,0.7855641518105596,0.20970116069336794,-0.02131808252968248,1.4816014393853725,0.7951349775218471,0.3774649755343813
@ANINewsIndia,videos,2026-03,1226,wire_international,0.35422420183149583,0.5607831950232269,-0.024013188556204365,-0.1043788931409662,-0.5456991722194734,0.5102317173661561,1.842070010269908,0.4766591737021666,-0.32752185072363105,1.932949069892293,1.2406981863946116,1.2538742685226623,0.19769153438982592,0.5946602212716143,-0.7697571664291263,0.05253948783987712,-0.16242754176832222,0.1261480568077753,0.9297278596206031,0.11774880308543102,-0.025674118242777114,1.338376298516549,0.6103982895256602,0.43233806357988225
@ANINewsIndia,videos,2026-04,1323,wire_international,0.12297240711689193,0.7047638512934874,-0.0007367426099324166,-0.06240856599587072,-0.5230019835861099,0.5628436766026134,1.7926048006270785,0.454143626177475,-0.4853912629174071,2.2607077726991367,0.9575660684614492,1.395624131734078,0.2722388013939908,0.71470183696662,-0.6346117013913668,0.04533469409850296,-0.18215205644309762,0.2831205627144359,0.9063348680809918,0.18036700170022205,-0.15015146190801795,1.602534934890203,0.5085478341221118,0.42394954457905176
@ANINewsIndia,videos,2026-05,1134,wire_international,0.5867656433771272,0.7797324587208222,-0.008600551884284359,-0.23164783437415953,-0.6215526453123809,0.8369570357661156,1.8809109706202707,0.3596422160014713,-0.44803627927481954,1.7058153291823785,1.4829097281388168,0.6913953694141166,0.3655056395767034,0.799056999097051,-0.9570105044324989,-0.028210557076061297,-0.12541823165351368,0.13956734652569633,0.932854868802172,0.015419223378979649,-0.05379543906399464,1.2010059295165942,0.765867098426841,0.11453742613712167
@ANINewsIndia,videos,2026-06,1382,wire_international,0.7464023842929086,0.6589661854313857,0.0329838690848646,-0.22909116930460774,-0.5919925846754588,0.8219302737757481,1.7402875385475343,0.33365644187544397,-0.38055528160998375,1.797011874508045,1.4406745876359455,0.741302792641555,0.42102048931193603,0.6927134898184744,-0.8963145443956341,-0.015096283273674002,-0.10653714402030556,0.22733402350247936,0.7684279860123898,-0.06784172868389825,0.009982259744756227,1.2893278920151128,0.6825717408043827,0.17167484370794647
@ANINewsIndia,videos,2026-07,1352,wire_international,0.8346049934478346,0.5672273571441624,0.18017820697688558,-0.27625793022358697,-0.6361135702445144,0.7242466464937903,1.9049647310316133,0.4292635873399389,-0.4360598955566795,1.2804221348033935,1.6080740466937131,0.8373164021459106,0.45176457266207154,0.583580359837427,-0.7806429174505384,-0.050215863056446625,-0.1298895160987381,0.1751698300288496,0.861605446717396,-0.03915135768813105,-0.0650595430525241,0.7916196293429977,0.8319039655679956,0.2858095330468807
@ANINewsIndia,videos,2026-08,1953,wire_international,0.5177807866894546,0.5869006682432477,0.0730539040203487,-0.3073948400924468,-0.7555171166135974,0.8581490970689619,1.77872215321493,0.4782391221458694,-0.7408395146339599,1.5385086013006974,1.4797091522145553,0.46250022502738497,0.08821157703139683,0.6061976594168657,-1.0331406079122507,-0.02187611655489155,-0.17648358795624616,0.07336480261847238,0.7553198728691097,0.05993450813292271,-0.28141686633351914,1.1486424221497864,0.604006406149246,0.12790432755104625
@ANINewsIndia,videos,2026-09,1121,wire_international,0.7385812584290424,0.6146312072443998,0.09143785199176675,-0.36605045927624175,-0.6254983241514587,0.7194414283472232,1.7984164178139497,0.7469893819082382,-0.7469239108717965,1.256260308352644,1.7588178737327065,0.567202990162073,0.24144921807265826,0.6079373235681573,-0.8142060804993687,-0.12069290905596523,-0.1364840202919274,0.2909664413548261,0.6207179010882339,0.18104540029308963,-0.35829882592000567,0.8086408371100967,0.9146548297929675,0.12450373040331666
