term,n_titles,n_channels,is_phrase,phrase_words
supply,396,51,False,
erika,395,77,False,
operations,395,41,False,
strong,395,50,False,
arrive,394,31,False,
chris,394,87,False,
fmr,394,31,False,
homan,394,61,False,
uss,394,52,False,
wave,394,66,False,
bangladesh,393,10,False,
colombia,393,45,False,
fails,393,100,False,
damage,392,65,False,
department,392,53,False,
harris,392,80,False,
intelligence,392,67,False,
triggers,392,61,False,
arrests,391,81,False,
taylor,391,89,False,
convention,390,78,False,
council,390,40,False,
christian,389,107,False,
erupt,389,57,False,
targeting,389,73,False,
ny,388,70,False,
travel,388,58,False,
brief,387,32,False,
you're,387,105,False,
bbc,386,31,False,
gavin newsom,386,101,True,gavin|newsom
means,386,92,False,
merz,386,22,False,
nations,386,56,False,
college,385,83,False,
denies,385,57,False,
rock,385,80,False,
ballistic,384,36,False,
mandelson,384,25,False,
runs,384,103,False,
canadian,383,71,False,
countries,383,66,False,
greg,383,57,False,
old,383,115,False,
thought,383,94,False,
working,383,98,False,
failure,382,104,False,
pratt,382,74,False,
tsa,382,59,False,
hospital,381,63,False,
intel,380,68,False,
results,380,78,False,
trouble,380,86,False,
train,379,54,False,
closing,378,56,False,
crimes,378,102,False,
grows,378,60,False,
puts,378,72,False,
naval,377,43,False,
parents,377,85,False,
paxton,376,55,False,
happens,375,114,False,
homes,375,52,False,
industry,375,78,False,
sign,375,69,False,
spencer,375,86,False,
expected,374,55,False,
resigns,374,97,False,
tried,374,112,False,
venezuelan,374,70,False,
cruise,373,45,False,
envoy,373,31,False,
facility,373,40,False,
gabbard,373,77,False,
peter,373,78,False,
finds,372,68,False,
weapon,372,76,False,
carolina,371,48,False,
celebrates,371,55,False,
gone,371,111,False,
spending,371,65,False,
ultimatum,371,53,False,
attend,370,34,False,
centers,370,98,False,
dan,370,93,False,
glenn,370,59,False,
officers,370,58,False,
abdul el-sayed,369,86,True,abdul|el-sayed
camera,369,90,False,
told,369,106,False,
goes viral,367,64,True,goes|viral
policies,366,61,False,
al,365,50,False,
anthropic,365,46,False,
beirut,365,35,False,
bombing,365,84,False,
reform,365,48,False,
trapped,365,56,False,
culture,364,106,False,
flight,364,54,False,
land,364,93,False,
looks,364,99,False,
matt,364,91,False,
pleads,364,62,False,
tel,363,33,False,
aviv,362,33,False,
lincoln,362,55,False,
moments,362,65,False,
sites,362,43,False,
steve bannon,362,31,True,steve|bannon
tel aviv,362,33,True,tel|aviv
challenges,361,66,False,
clancy trial,361,49,True,clancy|trial
edition,361,38,False,
morgan,361,80,False,
underway,361,33,False,
megyn kelly,360,57,True,megyn|kelly
resignation,360,58,False,
sam,360,82,False,
risks,359,61,False,
testify,359,52,False,
exit,358,49,False,
vp,358,41,False,
changes,357,102,False,
controversy,357,75,False,
dollar,357,80,False,
instantly,357,47,False,
kim,357,48,False,
maher,357,57,False,
paris,357,37,False,
safe,357,69,False,
agreement,356,47,False,
asked,356,80,False,
experts,356,65,False,
green,356,79,False,
south africa,356,27,True,south|africa
book,355,88,False,
executive,355,56,False,
site,355,50,False,
zelenskyy,355,29,False,
cancer,354,67,False,
omg,354,20,False,
videos,354,72,False,
discuss,353,60,False,
heads,353,52,False,
held,353,63,False,
match,353,57,False,
changed,352,119,False,
hungary,352,50,False,
play,352,71,False,
shocked,352,82,False,
caller,351,19,False,
growth,351,37,False,
rare,351,50,False,
argentina,350,48,False,
explosion,350,40,False,
killer,350,75,False,
sets,350,70,False,
gather,349,27,False,
italy,349,41,False,
