creator,lane,n_titles,score_shuffled,score_pass1,change,side_shuffled,side_pass1
@DarkHorsePod,centrist_heterodox,50,0.3,0.26,0.03999999999999998,right,right
@AndrewKlavan,right_commentary,50,0.44,0.4,0.03999999999999998,right,right
@moreperfectunion,independent_digital_news,50,-0.28,-0.32,0.03999999999999998,left,left
@Firstpost,wire_international,50,-0.02,-0.06,0.039999999999999994,neither / unclear,left
@CNN,us_legacy_tv,50,-0.08,-0.12,0.039999999999999994,left,left
@wethefifth,centrist_heterodox,50,0.02,-0.02,0.04,neither / unclear,neither / unclear
@PiersMorganUncensored,interview_podcast,50,0.04,0.0,0.04,neither / unclear,neither / unclear
@NewsNation,us_legacy_tv,50,0.04,0.0,0.04,neither / unclear,neither / unclear
@TimDillonShow,humour_satire,50,0.0,-0.04,0.04,neither / unclear,neither / unclear
@RSBN,right_tv_network,50,0.26,0.22,0.04000000000000001,right,right
@TimcastIRL,right_commentary,50,0.22,0.18,0.04000000000000001,right,right
@MichaelMaliceofficial,interview_podcast,50,0.22,0.18,0.04000000000000001,right,right
@EzraKleinShow,interview_podcast,50,-0.22,-0.26,0.04000000000000001,left,left
@GlennKirschner2,legal_institutional,50,-0.74,-0.78,0.040000000000000036,left,left
@breakingpoints,independent_digital_news,50,-0.5,-0.54,0.040000000000000036,left,left
@BlazeTV,right_commentary,50,0.66,0.62,0.040000000000000036,right,right
@glennbeck,right_commentary,50,0.56,0.52,0.040000000000000036,right,right
@RealAmericasVoice,right_tv_network,50,0.54,0.5,0.040000000000000036,right,right
@RonPlacone,humour_satire,50,-0.42,-0.46,0.040000000000000036,left,left
@JamarlThomas,left_commentary,50,-0.36,-0.4,0.040000000000000036,left,left
@podsaveamerica,left_commentary,50,-0.62,-0.66,0.040000000000000036,left,left
@oann,right_tv_network,50,0.28,0.24,0.040000000000000036,right,right
@deanwithrs,streamer_reaction,50,-0.9,-0.96,0.05999999999999994,left,left
@adammockler,left_commentary,50,-0.56,-0.62,0.05999999999999994,left,left
@TheMajorityReport,left_commentary,50,-0.68,-0.74,0.05999999999999994,left,left
