creator,genre,n_videos,median_views,mean_views,gini,top10_share,top1_share,alpha,xmin,n_tail,lr_vs_lognormal,lr_p,powerlaw_like,zipf_views_all,zipf_views_head,group,organisation,clipper,subscribers,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,curiosity_gap,outrage,humor
@jlptalk,streams,187,10000.0,10803.208556149733,0.10280180868416168,0.14553014553014554,0.01881001881001881,2.999999999999999,7600.0,186,-8.019240275875193,1.0640119329497199e-15,False,0.1837629710513147,0.12308084086201698,right,Jesse Lee Peterson,False,625000.0,0.1567945263366144,0.4812086147765646,0.4252966019080839,0.4993523363281032,0.2842873688759768,0.3700398844035175,-0.9233766415042236,4.210827768958647,0.2263924885611139,-0.256300356046746,0.504094855924633,0.6891382087465288,0.0213903743315508,0.2299465240641711,0.0
@jlptalk,videos,288,5050.0,9731.597222222223,0.5475876684387674,0.45848645948549616,0.13237235522888643,2.5219530765277662,10000.0,77,-0.2398237944317409,0.810466859903982,False,0.8975504485552528,0.6242015225900192,right,Jesse Lee Peterson,False,625000.0,0.4016875716359648,0.3928795345351376,0.1118309951019419,0.2058040206914159,-0.0667571102545768,-0.0382716150485097,-1.5091593730734094,0.9796478377598842,0.1765617467443718,3.061063196563847,1.3938352614149725,-0.0686917500529093,0.0197368421052631,0.6348684210526315,0.0
@joerogan,videos,141,1000000.0,1354517.7304964538,0.376855028601516,0.309445145481106,0.07644499363831046,2.5842081316276984,784000.0,96,-1.332882872405571,0.1825702440899062,False,0.6524991443084855,0.43008123647885615,neutral,Joe Rogan,False,21100000.0,-0.3970547638216152,-2.6961594036396903,-0.0037583137274766,-0.5983873237610133,-0.6744430539732272,0.643022245091607,-0.3730813807908874,0.2579755548141212,-1.2033235279976906,-0.3158867349360634,-1.5331968622267098,0.0831948778357882,0.0,0.0496453900709219,0.0
@judgingfreedom,streams,699,94000.0,120533.61945636624,0.4059544277083429,0.2778536075866735,0.04256228264868907,2.9749108769320913,118000.0,280,-3.682869999135041,0.00023062278431439448,False,0.7088338649264865,0.2502355062420905,left,Judging Freedom,False,786000.0,0.5019893777825662,-0.6296107396461068,0.104697622912131,-0.4170885846935858,-0.2096370300939742,1.7087043555876718,-1.0288562275095612,-0.1864317837395986,-0.2261101187430008,-1.3220145340244789,-0.5527465718768515,0.6062766091575084,0.0071736011477761,0.4275466284074605,0.0
@judgingfreedom,videos,355,12000.0,19004.822535211268,0.4742895615014155,0.37040264946836327,0.10671865050709145,2.9627875907648944,34000.0,40,-0.12270861923053981,0.9023378382937722,False,0.8007838642192285,0.5754059397595459,left,Judging Freedom,False,786000.0,0.308898851794857,-0.0261066883238051,-0.1927403017600972,-0.1540942198193783,1.2380334320984845,0.2926140580017226,-0.9454244043146376,-0.5387407280776652,-0.169497295112789,-0.9907350285182042,0.0239529044120484,-0.1666013820288203,0.0197183098591549,0.4957746478873239,0.0
@katiephangnews,videos,403,74000.0,134934.4913151365,0.5460484158675798,0.38178621737227514,0.0916353124206949,2.0604113851093517,71000.0,210,-3.817755972113661,0.00013467103225959942,False,1.0313977264871441,0.3658133268630926,left,MeidasTouch Network,False,812000.0,-1.841865674983434,-0.484287228255458,-0.3170407287746006,-0.0289964670414996,-0.4285219267871224,-0.3298950316957882,0.1931502865629868,-0.1489944466727748,2.4646047541692093,-0.8720375242119909,0.9086868219428178,-0.3863351784673991,0.0148883374689826,0.9851116625310172,0.0
@laurenchenclips,videos,109,2200.0,6986.926605504587,0.6749384348647344,0.543610281324886,0.2271608180415586,2.663855412577665,15000.0,14,-0.2044954794910056,0.8379663242032358,False,1.354145834669576,0.7380656373416041,right,Lauren Chen,True,11400.0,-0.4373746942687921,0.2858836971851357,-0.4761757767404141,-0.3302812764647956,0.6438799874599351,-0.0290078614520783,-0.5635950040228412,-0.2266082806344981,-0.6868817926384887,-0.8155804462101837,-0.5134106171590489,0.0485602549355299,0.036697247706422,0.5137614678899083,0.0
@lovettorleaveitpodcast,videos,114,27000.0,43184.21052631579,0.5113256429719434,0.4237253707089173,0.13934592728011375,2.4266783317377287,23000.0,72,-0.42223496125548854,0.6728535252647985,False,0.9423988924609069,0.5899621788902032,left,Crooked Media,False,144000.0,-0.7509769168970208,-0.3318498845191268,-0.8090875847233909,-0.3956204610932192,0.1457843605793472,1.376918068272939,-0.7648861387402855,-0.3626602815390389,-0.9102779450063933,-0.6124481793539647,0.2109636681361653,-0.392926053707238,0.0175438596491228,0.4912280701754385,0.0087719298245614
@marclamonthillnetwork,streams,151,2800.0,9053.8940397351,0.7345310213915338,0.6992710318929033,0.30282239247244974,2.0627502062533387,2400.0,91,0.6796887066750668,0.4967015882849133,False,1.2078679719115768,1.168672690672884,left,Marc Lamont Hill,False,275000.0,-0.113156992170658,-1.0219723808837258,0.7532853037030875,-0.3790087077748628,-0.5254534573768115,0.6055379736753475,-0.3912903345803983,0.6009859182321982,-0.807220251515445,-0.3545589047721828,0.7885062134470363,0.066052365487301,0.0264900662251655,0.4900662251655629,0.0066225165562913
@marclamonthillnetwork,videos,321,3600.0,27436.28348909657,0.7258534368368118,0.5233309189788586,0.13182625231817202,2.1270696707811996,26000.0,101,-2.323222259067043,0.020167215595679314,False,1.8419422462133628,0.4262646323266821,left,Marc Lamont Hill,False,275000.0,-0.0756323040880187,-0.7589715009052329,-0.3118278491180004,-0.2850873577947924,-0.4126267516339294,1.3469587089142985,-0.403451730918189,0.2199433011111563,-1.0376502208391265,0.2259004165443921,0.6141231090653241,0.1302107702317969,0.0062305295950155,0.3333333333333333,0.0062305295950155
@markets,videos,8008,6600.0,16904.74313186813,0.6842486246599625,0.5948740970358952,0.275497695876738,2.251222742962219,14000.0,1971,-0.40204512358461136,0.6876508178823202,False,1.1047496922019238,0.7577503542473286,neutral,Bloomberg,False,3270000.0,0.538855349191174,-1.1084011681989798,-0.3825123393605592,-0.2787473104956907,-0.5068471319262061,0.1723429890379566,-0.2947350199286898,0.2958231552609459,-0.3699976892529274,-0.5933104867716898,-0.4120083934283808,0.4496685199844961,0.0050163029847002,0.1966390770002508,0.0003762227238525
@marklevinshow,videos,505,3600.0,4452.354455445545,0.4595704040901177,0.3574035141713873,0.14009719632153686,2.9147380454869705,13000.0,20,0.43543428900158365,0.6632472260144908,False,0.7954083629865799,0.6879368823321701,right,Mark Levin,False,103000.0,0.9306442677295644,-1.2459097703283744,-0.1280499571943373,-0.2713588666127768,0.4039179276390069,-0.3422225014278302,-0.8228407611058329,-0.4618487605517757,-0.3821828192120181,-0.707804160003407,0.3834105225365537,-0.7583209306312334,0.0079207920792079,0.4574257425742574,0.0
@morebridgetphetasy,videos,206,977.0,3412.4223300970875,0.7357126519428407,0.6290551796050694,0.3727102149627503,2.5133973597496606,4500.0,38,0.5415711071542785,0.5881140003051082,False,1.3016769894587896,0.85348151849364,right,Bridget Phetasy,False,13100.0,0.6292600678423662,0.9007004520939637,-0.4272089228194896,-0.0199139111226819,0.8921081249073325,-0.6060697081431505,-0.7473835252110308,-0.1000564570054769,-0.1442276400932355,-0.5401362973428223,0.0970931160820382,-0.049981795957851,0.0097087378640776,0.4320388349514563,0.0048543689320388
@msnow,streams,335,55000.0,120447.16417910448,0.6033708650685575,0.5073631096064912,0.2310296457479343,2.0638084567796877,37000.0,242,-1.2990267699253786,0.1939347423540415,False,0.974219295642887,0.6972454136910003,left,MS NOW,False,9980000.0,0.2901824834998999,1.0333705008160528,2.281120382131945,-0.2974770785194719,-0.3920027531524291,0.0442728448272371,1.0089229182964854,-0.1220792079979016,-0.5365766427491472,-0.6109210522728634,0.1631417267068177,-0.8041214945565167,0.0092307692307692,0.1538461538461538,0.0
@msnow,videos,9882,60000.0,144181.42076502732,0.6432880825593302,0.5036711096737172,0.1266141905591294,2.5944213111588796,290000.0,1275,-4.8603217737067785,1.171951102284336e-06,False,1.1845216153016591,0.47852605821999117,left,MS NOW,False,9980000.0,0.5232363108210462,0.8280276250504347,0.2356335814556009,0.1084944812080326,0.2468164456742406,-0.3619048665736021,0.8696064901884114,-0.2918682564149835,-0.3205083518236998,2.476704504179808,0.1963214581918334,0.3516377580531617,0.0093126834699868,0.5452981070958599,0.0013159226642372
@nationalreview,videos,191,9700.0,18823.560209424082,0.5668374781910589,0.4828526131338136,0.13295135315550857,2.4785898190927558,14000.0,73,0.30103297318238187,0.7633893510647437,False,0.9756226269446974,0.7475724645333899,right,National Review,False,116000.0,0.350405488677896,0.2009564466496321,-0.1789131486844438,-0.0776529876414666,3.9433074119632505,-0.2964781776145823,-0.4364257891847243,-0.3195371479326394,-0.5437219384923737,-0.5912877428221519,-0.4504921665875298,-0.1374366403459618,0.0471204188481675,0.5340314136125655,0.0052356020942408
@nousnetwork,videos,156,7300.0,42442.63461538462,0.820676028585732,0.7577346859282612,0.433465925575864,1.8354134819513201,14000.0,55,-0.5880281651050611,0.5565133880943319,False,1.6171892988337313,1.0290489709312847,left,nous,False,88500.0,0.2985922644902404,-0.359458111399514,-0.1721665094182033,-0.3620901672934573,2.1183321291617365,0.1582939869558444,-0.3070342302032149,-0.1522135231316986,-0.0764765465499831,-0.9907932433516636,-0.3656527003936859,-0.0507638558528878,0.0448717948717948,0.3269230769230769,0.0
@nypost,streams,114,9650.0,54525.26315789474,0.8147253062868178,0.7541973139764603,0.47507352136785136,1.8793627768037475,13000.0,55,-0.18176705670952262,0.8557655387362614,False,1.5509315317932346,1.1745268634946708,right,New York Post,False,2560000.0,0.6673846075836858,-1.951120445124152,1.0453169054434068,-0.1337417262081631,-0.3397945391088252,-0.1170239601927018,-0.7422768581326361,-0.0488168387674539,-0.9096210273497254,-0.9447161832652486,-1.179432596352792,-0.0902052713922244,0.0272727272727272,0.1,0.0
@nypost,videos,6305,14000.0,54669.77002379064,0.7495040802320047,0.6435090481991361,0.24847625233940124,2.748043088497452,386000.0,152,-0.18874164548734787,0.8502953097808026,False,1.3825941478457615,0.6874681390630403,right,New York Post,False,2560000.0,0.1007218878826094,-0.8136611289383981,-0.475146795651047,-0.1552359742522223,-0.3073632414791149,0.2023544754725267,-0.7238908278360953,0.151140849608789,-0.5948946628108656,0.4005382240977351,0.1867349625833431,-0.0139475790382817,0.0153870558375634,0.5552030456852792,0.0047588832487309
@oann,streams,344,1700.0,2248.6279069767443,0.4345855446852633,0.3262971734701265,0.07885945951536337,2.9416830629849886,2000.0,150,-0.8508901859903336,0.3948303570024668,False,0.7636976656260172,0.4474638967545348,right,OAN,False,1420000.0,0.5204537475499846,-0.5681029524279313,2.0287153909406226,-0.5214468045587806,-0.3692119850814923,-0.3858493593465378,0.1165392020211186,-0.3762072083933161,2.6154930213370347,-0.4881956621940379,-0.7369372028729085,-0.8470000214128517,0.0064724919093851,0.1941747572815534,0.0032362459546925
@oann,videos,1804,1200.0,3141.4833702882484,0.6338809516671297,0.5706485489575518,0.28355974587964927,2.309016001553557,2600.0,421,0.20706910721250166,0.8359558880799332,False,0.8986739418643782,0.8017317441669148,right,OAN,False,1420000.0,0.3365577398189048,-0.6868182985579357,-0.3565622333401982,-0.5858212161101374,-0.3090990762303914,0.3888371386698318,-0.4231165227268358,0.194148376143831,-0.2202558109934316,0.120378102172297,0.2557913949826487,-0.075735209288992,0.0183028286189683,0.3921242373821408,0.002218524681087
@podsaveamerica,videos,285,234000.0,244635.7894736842,0.30627675883224525,0.22435069964372387,0.04114960729304717,2.963160557878303,176000.0,193,-3.6084820169054286,0.0003079938590338904,False,0.5589173308073567,0.3204081191733489,left,Crooked Media,False,1280000.0,-0.4663015568329293,-0.8872363280494727,-0.2079022806661135,-0.3390697498164169,0.1165529887633074,0.0088783176493322,-0.5974941182091523,-0.162588798308974,-0.5764990622892713,-0.6093236036821863,0.0357718661923556,-0.3453422029147058,0.0074962518740629,0.7001499250374813,0.0014992503748125
@ponderingpolitics,videos,1338,81500.0,120218.98355754858,0.4453622283897031,0.34861643861165165,0.07712010344849024,2.673428665211615,104000.0,507,-2.382427007558699,0.017198941253046003,False,0.745533260904083,0.3881942907495456,left,Pondering Politics,False,861000.0,-0.4976008965805743,-0.207045241422002,0.2655873467421284,0.3102786967683884,-0.2236310060657247,-0.3719995865898772,0.2217564209538601,0.8850293456738848,1.503931293190158,-0.6770132074168156,-0.5769828676212679,-0.7010414605117181,0.0231765507839127,0.8984321745057942,0.0034083162917518
@rolandsmartin,streams,1223,3100.0,9164.062959934587,0.6576591389948347,0.500729457176969,0.14168894832448803,1.7340265242285862,1700.0,879,-5.774126387865772,7.73533600819553e-09,False,1.1934948798465914,0.46196433031054707,left,Black Star Network,False,1960000.0,-0.1590533761287743,-0.8369302330472467,-0.2864731009087566,-0.2823349372163909,-0.5824077661589785,0.91233677474916,-0.0907233137250484,0.368522328263608,-0.9259289632236046,-0.3861271082749236,0.6897191834404686,-0.3425035812460461,0.0051369863013698,0.5273972602739726,0.0
@rolandsmartin,videos,742,29000.0,63703.75471698113,0.6331789427615405,0.48702947898190974,0.12809884432628746,2.4955398425009205,81000.0,168,-1.1913817479752697,0.23350375486217245,False,1.2765886015024843,0.5336727650170493,left,Black Star Network,False,1960000.0,-0.4757280740167975,0.2792606109472584,-0.3805676249897053,-0.0346326795434815,-0.4287346694686175,0.587630377952047,-0.7096535494107299,0.0678312316405867,-0.9255042950991528,1.2593257335751695,0.0549146448649587,-0.1585211560927704,0.022911051212938,0.7803234501347709,0.0
@thedavidpakmanshow,videos,1659,129000.0,198969.8613622664,0.4873522145935211,0.3524815884104686,0.07543374402816193,2.9920070995929735,268000.0,389,-2.3736821258131613,0.01761170508091579,False,0.8450733318733534,0.38235391861142787,left,David Pakman,False,3660000.0,0.3535558120021135,0.8346876845658857,-0.1322483580417247,-0.0411930951800244,0.068130010527251,-1.1185730990805074,0.5748837935594586,-0.420893330575908,0.6001663354909674,-0.4526245509919893,-0.3701642226317301,0.2313192568772032,0.0353443022547227,0.8695917123705058,0.0
@thegrayzone7996,videos,155,27000.0,42999.354838709674,0.529212692976542,0.3937043316478867,0.09287461177211961,2.9409186443663016,58000.0,38,-0.46928176003291816,0.6388682511546226,False,1.004117645952951,0.5258890883148567,left,The Grayzone,False,575000.0,0.612809558079348,0.149859428777772,-0.8041810608641248,-0.1556040781493682,-0.1387260329809652,-0.4286956320930282,1.5150222058099134,-0.6898340787606909,-0.0621540755979129,0.4469184288692145,-0.4383553381706726,-0.206690697360243,0.032258064516129,0.632258064516129,0.0
