creator,genre,text,zipf_exponent_top200,n_titles,n_tokens,n_types,top_5,top1_share
@HasanabiClips,videos,normalised,0.9075,474,5072,1583,hasanabi reacts to the is,0.086
@JackCocchiarellaShow,videos,normalised,0.7152,1524,12557,1311,trump as it to this,0.0852
@JacksonHinkleOfficial,streams,normalised,0.8009,81,703,298,live iran war s candace,0.1124
@JacksonHinkleOfficial,videos,normalised,0.7397,388,2357,883,iran war candace kirk owens,0.0556
@JamarlThomas,streams,normalised,0.8196,223,2518,969,iran us trump war to,0.0548
@JamarlThomas,videos,normalised,0.7903,274,3039,1078,the iran is us war,0.0322
@JesseKellyDC,videos,normalised,0.7187,504,4174,1339,to trump the democrat in,0.0335
@JillianMichaels,videos,normalised,0.7494,457,4440,1575,the s to is in,0.0669
@JustPearlyThings,streams,normalised,0.7767,96,783,395,women the to are men,0.037
@JustPearlyThings,videos,normalised,0.7869,669,5213,1579,the women to a of,0.0432
@KimIversen,videos,normalised,0.8103,534,4620,1669,the to is trump iran,0.0271
@LIVESNEAKO,streams,normalised,0.7153,69,506,254,irl in stream day sneako,0.0494
@LIVESNEAKO,videos,normalised,0.8264,479,3130,1044,sneako the is to tate,0.0537
@LeejaMiller,videos,normalised,0.602,60,430,257,the to is a explainer,0.0698
@LegalAFMTN,videos,normalised,0.8676,2500,23274,2873,trump as in to court,0.0789
@LegalEagle,videos,normalised,0.6957,105,662,404,the is trump's a trump,0.0287
@LeverNews,videos,normalised,0.7668,73,715,376,the to plan is s,0.0629
@LiberalHivemind,videos,normalised,0.7869,846,5539,1427,the just is this a,0.0525
@LukeBeasley,streams,normalised,0.8771,246,1947,536,trump breaking shock this is,0.0745
@LukeBeasley,videos,normalised,0.8927,1162,10074,1339,trump this s watch on,0.0528
@MLChristiansen,streams,normalised,0.6172,77,934,570,guest iran s shooting the,0.0343
@MLChristiansen,videos,normalised,0.5977,118,1574,955,the and of to on,0.0394
@MarkDice,videos,normalised,0.739,92,1066,599,the and to on what,0.0413
@MattWalsh,videos,normalised,0.7925,297,3101,1212,the is this a of,0.0619
@MegynKelly,videos,normalised,0.7786,1651,22989,4514,the and with in of,0.0338
@MeidasTouch,streams,normalised,0.9727,627,5829,1095,live trump as breaking in,0.101
@MeidasTouch,videos,normalised,0.8326,2500,21510,2261,trump as in on war,0.0971
@MichaelKnowles,videos,normalised,0.7269,472,4273,1766,the to michael in knowles,0.029
@MichaelMaliceofficial,videos,normalised,0.6582,55,523,295,the with michael and malice,0.0421
@MikeFromPA,videos,normalised,0.7881,129,935,490,mike the is hasan why,0.0396
@ModernDayDebate,streams,normalised,0.8007,109,1171,420,vs debate is the or,0.1102
@MrTariqNasheed,videos,normalised,0.8514,403,3600,1212,the to fba fbas this,0.0303
@MyronGainesX,streams,normalised,0.6984,245,2909,1170,iran and the to us,0.0241
@MyronGainesX,videos,normalised,0.8931,389,4300,1423,the myron and s to,0.05
@NBCNews,streams,normalised,1.0918,367,3146,696,live the trump now stay,0.0687
@NBCNews,videos,normalised,0.9049,2500,24492,5271,in to now s the,0.0223
@NPR,videos,normalised,0.7784,70,862,492,the to and in s,0.0394
@NYTPodcasts,videos,normalised,0.8872,481,5195,1797,the and s a trump,0.0577
@NewsNation,streams,normalised,0.8647,302,3238,1136,with live watch trump the,0.0398
@NewsNation,videos,normalised,0.8846,2500,30216,6040,in to live newsnation the,0.0268
@NewsmaxTV,streams,normalised,0.8576,399,3936,1432,the show and a s,0.0699
@NewsmaxTV,videos,normalised,0.8536,2500,30081,6102,the to trump of america,0.0345
@NickCruseRBN,streams,normalised,0.7336,103,1507,715,iran trump and to the,0.0352
@NovaraMedia,videos,normalised,0.8285,585,4962,1776,the is s to trump,0.0353
@OfficialSaharTV,videos,normalised,0.7724,893,10044,2077,to the then in muslim,0.0275
@OutKick,videos,normalised,0.5997,51,516,333,the is to clay a,0.0543
@OwenJonesTalks,videos,normalised,0.8104,233,1963,798,iran the s is israel,0.028
@OwenReport,streams,normalised,0.8461,178,2442,989,trump the and to as,0.0344
@OwenReport,videos,normalised,0.7992,388,3734,1325,trump the to and is,0.0332
@PBDPodcast,streams,normalised,0.5994,118,1080,644,iran trump s trump's pbd,0.0278
@POLITICO,videos,normalised,0.8111,295,2579,1021,the s trump on and,0.0461
@PTLRadioShow,streams,normalised,0.7966,201,1976,972,trump in to iran of,0.044
@PTLRadioShow,videos,normalised,0.8421,1684,16891,2707,maga brian trump shapiro on,0.0395
@PartOfTheProblem,videos,normalised,0.5999,103,447,261,the a war of is,0.094
@PhillipScottPodcast,streams,normalised,0.8426,153,2293,877,black to in the woman,0.0349
@PiersMorganUncensored,videos,normalised,0.7453,181,2510,1160,on iran trump with piers,0.0271
@PiscoLitty,videos,normalised,0.5975,56,495,313,debate the maga trump on,0.0505
@Politicon,videos,normalised,0.9426,496,4078,1251,the trump with war politics,0.0508
@PoliticsGirl,videos,normalised,0.747,116,661,356,the a with conversation is,0.0484
@PoliticsJOE,videos,normalised,0.7924,339,3248,1071,the in starmer keir on,0.0345
@PragerU,videos,normalised,0.876,385,4188,1592,the s on of and,0.0654
@RSBN,streams,normalised,1.1603,337,3888,769,replay live trump the president,0.0746
@RSBN,videos,normalised,0.9066,1640,19396,3310,watch the trump president full,0.0537
@RealAlexClark,videos,normalised,0.7319,79,996,629,the your dr to why,0.0331
@RealAmericasVoice,streams,normalised,0.9582,1543,19043,3463,w the trump war as,0.0246
@RealAmericasVoice,videos,normalised,0.7237,2500,25971,5040,the trump s on iran,0.0227
@RealDanBongino,videos,normalised,0.7137,266,1734,802,the is to this a,0.0565
@RebelHQ,videos,normalised,0.7643,1292,12040,2577,trump as in to gets,0.0338
@RebelNewsOnline,streams,normalised,0.778,195,2295,1014,roundtable on carney canada buffalo,0.0301
@RebelNewsOnline,videos,normalised,0.7833,1358,13549,3591,the to in of is,0.0376
@RedactedNews,streams,normalised,0.8171,140,1939,762,the iran is redacted and,0.0284
@RedactedNews,videos,normalised,0.8416,452,5515,1557,the is redacted and to,0.0359
@RekietaLaw,streams,normalised,0.7242,106,1289,606,and the trial day a,0.0318
@RestPoliticsUS,videos,normalised,0.8342,220,1752,584,the trump trump's iran is,0.0485
@Reuters,streams,normalised,0.7913,2008,18471,3301,live in of on at,0.1081
@Reuters,videos,normalised,0.8125,2500,24155,6209,in to reuters us of,0.0232
@RileyGaines,videos,normalised,0.6442,143,1282,647,the s to a on,0.0577
@RobertGouveiaEsq,streams,normalised,0.5929,385,3508,1318,election trump court judge supreme,0.0208
@RobertGouveiaEsq,videos,normalised,0.7355,696,5788,1712,in after election trump judge,0.0354
@RonPlacone,videos,normalised,0.6862,66,795,534,the of to in a,0.0428
@RubinReport,streams,normalised,0.7035,114,1426,508,s the as to of,0.0266
@RubinReport,videos,normalised,0.7601,1047,12709,2417,s the to as this,0.0218
@RufoandLomez,videos,normalised,0.7261,80,745,434,the of is trump right,0.0846
@SMN,videos,normalised,0.7411,197,1781,607,the trump more and news,0.0387
@SabbySabs,streams,normalised,0.6898,103,1512,711,trump iran joins kirk reveal,0.039
@SabbySabs,videos,normalised,0.7243,626,3774,1450,trump iran breaking w is,0.0313
@SaltyCracker,videos,normalised,0.7709,387,4019,1702,to a in after the,0.0314
@SecularTalk,videos,normalised,0.8057,1458,15229,3173,trump as to s in,0.0425
@Semafor,videos,normalised,0.9046,153,1804,904,semafor on the ceo world,0.0377
@SkyNews,streams,normalised,0.8244,1968,21916,4041,the in with to of,0.0288
@SkyNews,videos,normalised,0.8293,2500,27523,5854,the to in of is,0.026
@StatusCoup,streams,normalised,0.9172,157,1757,541,live ice breaking trump from,0.0854
@StatusCoup,videos,normalised,0.7116,517,5223,1761,ice trump to s on,0.0371
@StevenCrowder,videos,normalised,0.7369,169,1176,597,the is this to a,0.051
@StosselTV,videos,normalised,0.6099,50,570,334,the and why how government,0.0579
@Styxhexenhammer666,videos,normalised,0.7575,446,3658,1704,the and to is a,0.0569
@SydneyWatson,videos,normalised,0.5886,61,408,240,is the so to has,0.0686
@TechCrunch,videos,normalised,0.7825,145,1679,765,the to build is ai,0.0334
@TheAdamCarollaShow1,videos,normalised,0.8011,395,4416,1972,the adam s and on,0.0346
@TheAmalaEkpunobi,videos,normalised,0.7639,211,1661,735,the to this is she,0.0307
@TheAtlantic,videos,normalised,0.8627,166,1179,609,the is a to s,0.0679
@TheBrianKilmeadeShow,videos,normalised,0.8198,352,3689,1366,the iran s to is,0.0675
@TheDailyBeast,videos,normalised,1.0135,322,3025,890,trump is why the trump's,0.0744
@TheDamageReport,streams,normalised,0.6793,271,3873,1228,trump trump's to on iran,0.0465
@TheDamageReport,videos,normalised,0.7607,2500,21498,2577,as trump with in after,0.0439
@TheDonLemonShow,streams,normalised,0.9029,400,3390,1119,donald the trump is nolan,0.0339
@TheDonLemonShow,videos,normalised,0.7821,366,3129,1233,the trump donald is on,0.0364
@TheEconomist,videos,normalised,0.8918,137,1164,522,the s why is a,0.055
@TheHumanistReport,videos,normalised,0.7296,154,1883,944,to trump s the is,0.0292
@TheJoyReidShow,streams,normalised,0.8775,140,1062,509,the trump s and joy,0.0772
@TheJoyReidShow,videos,normalised,0.7646,238,2197,1079,the and to a is,0.0514
@TheLincolnProject,videos,normalised,0.7571,123,882,536,the trump is to s,0.0499
@TheMajorityReport,streams,normalised,0.7647,195,2394,1257,w trump s the in,0.0739
@TheMajorityReport,videos,normalised,0.7774,1657,12602,3596,the is tmr trump to,0.0242
@TheMichaelCohenShow,videos,normalised,0.8177,479,4234,1291,trump the after on is,0.0598
@TheOfficerTatum,streams,normalised,0.8035,194,1857,698,live breaking in after tatum,0.0576
@TheOfficerTatum,videos,normalised,0.7267,617,6406,1757,after in the on to,0.0329
@ThePodcastoftheLotusEaters,streams,normalised,0.8976,179,1069,478,with breakfast beau the s,0.0608
@ThePodcastoftheLotusEaters,videos,normalised,0.8137,622,3230,1254,the is of s to,0.0904
@TheQuartering,videos,normalised,0.6829,675,5002,1516,in ice the woke just,0.0184
@TheRealTabithaSpeaks,videos,normalised,0.8276,452,4869,1736,the to and a s,0.0405
@TheSerfTimes,streams,normalised,0.5969,103,1409,792,and hasan epstein vs joe,0.0206
@TheSerfTimes,videos,normalised,0.6838,247,1954,955,the and is to of,0.0363
@TheVaushPit,videos,normalised,0.767,403,2966,1204,the is to this a,0.0448
@TheYoungTurks,streams,normalised,0.7918,428,4424,1075,trump the war to iran,0.0319
@TheYoungTurks,videos,normalised,0.9438,2500,15450,3047,the tyt hour trump to,0.0314
@The_Crucible,videos,normalised,0.7288,226,1586,699,the debate with gets to,0.0359
@TimDillonShow,videos,normalised,0.642,68,476,274,the ft ray kump a,0.0609
@Tim_Black,videos,normalised,0.7412,329,3748,1325,the black a to and,0.0398
@Timcast,videos,normalised,0.6684,183,1350,682,is the this ft democrats,0.0333
@TimcastIRL,streams,normalised,0.7352,154,1526,763,trump timcast irl in war,0.0308
@TimcastIRL,videos,normalised,0.8074,855,5918,1937,is they it this to,0.0289
@TimcastNews,videos,normalised,0.8083,534,3355,1162,this is it the trump,0.037
@TimesNowWorld,streams,normalised,0.8552,2500,36390,4783,live news world us trump,0.0768
@TimesNowWorld,videos,normalised,0.8057,2500,34142,6025,iran us in s war,0.018
@TomiLahrenIsFearless,videos,normalised,0.6335,118,1354,721,the tomi lahren s to,0.0332
@TuckerCarlson,videos,normalised,0.7825,119,1753,781,the s and to on,0.0656
@USATODAY,streams,normalised,0.8539,417,4897,1300,live trump in to on,0.059
@USATODAY,videos,normalised,0.8185,2221,28656,6550,trump in to the of,0.0238
@UnHerd,videos,normalised,0.7384,83,630,343,the is of varoufakis munchau,0.0873
@Vaush,videos,normalised,0.7751,453,3332,1195,is the trump to this,0.0384
@VivaFrei,streams,normalised,0.7027,52,671,379,more and the in to,0.0641
@VivaFrei,videos,normalised,0.7008,331,4765,2035,the to of in is,0.0267
@Vox,videos,normalised,0.8541,133,1003,500,the america to actually how,0.0538
@X22Report-y5y,videos,normalised,0.8837,395,5927,1334,the is trump to ds,0.0857
@XAVIAER,videos,normalised,0.6505,71,693,421,the to are is s,0.039
@Xanderhal,streams,normalised,0.7187,108,1301,662,more the is trump vs,0.0815
@Xanderhal,videos,normalised,0.7421,316,2672,1115,the is to are trump,0.0423
@ZeihanonGeopolitics,videos,normalised,0.7934,217,1480,641,the of s a u,0.0878
@ZubyMusic,videos,normalised,0.7422,139,1179,595,the is a to of,0.0619
@aaronparnas1,videos,normalised,0.9473,819,9961,1738,breaking trump as and in,0.0681
@adammockler,videos,normalised,0.7623,1117,7282,1139,trump as it this on,0.0812
@ajplus,videos,normalised,0.6167,50,415,243,the s is gaza u,0.0554
@aljazeeraenglish,videos,normalised,0.8372,2500,28685,5214,in iran us of the,0.0255
@axios,videos,normalised,0.961,137,1296,575,the axios s ai with,0.061
@bbrettcooper,videos,normalised,0.7286,143,1175,658,the is a to are,0.046
@bennyjohnson,streams,normalised,0.7375,168,2433,920,in trump to live the,0.0275
@bennyjohnson,videos,normalised,0.6954,1508,20081,3510,in trump the to on,0.0221
@breakingpoints,videos,normalised,0.7459,1037,8752,2845,trump iran as in to,0.0382
