term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
fraud,exposes,56.00000,17.70274,3.16335,9.78163,0.00000,22.00000,1.66145
case,karmelo,40.00000,12.61028,3.17201,9.77983,0.00000,16.00000,1.66540
trump,ultimatum,35.00000,10.00419,3.49853,9.76696,0.00000,14.00000,1.80675
evidence,tyler,34.00000,9.98218,3.40607,9.75899,0.00000,17.00000,1.76811
charlie,tyler,65.00000,26.85418,2.42048,9.75678,0.00000,22.00000,1.27529
bad,nfl,20.00000,3.76723,5.30894,9.75494,0.00000,10.00000,2.40842
case,robinson,36.00000,9.97240,3.60996,9.75213,0.00000,13.00000,1.85198
ice,illegal,56.00000,18.35386,3.05113,9.73623,0.00000,21.00000,1.60934
iran,amid,119.00000,55.07100,2.16085,9.73532,0.00000,12.00000,1.11160
summit,xi,21.00000,3.70547,5.66730,9.71392,0.00000,5.00000,2.50266
election,california,53.00000,17.02242,3.11354,9.71297,0.00000,21.00000,1.63856
gop,act,38.00000,9.66291,3.93256,9.70310,0.00000,13.00000,1.97547
tyler,preliminary,41.00000,16.63972,2.46398,9.69482,0.00000,12.00000,1.30099
tyler robinson,preliminary,41.00000,16.63972,2.46398,9.69482,0.00000,12.00000,1.30099
lindsay clancy,defense,32.00000,7.61407,4.20275,9.67519,0.00000,10.00000,2.07133
fbi,arrests,21.00000,3.56589,5.88914,9.65597,0.00000,10.00000,2.55806
shooting,dead,26.00000,5.16688,5.03205,9.65403,0.00000,7.00000,2.33115
robinson,preliminary,42.00000,17.41182,2.41215,9.63707,0.00000,13.00000,1.27032
gop,primary,25.00000,4.79276,5.21620,9.62841,0.00000,11.00000,2.38300
fbi,nancy guthrie,53.00000,19.95142,2.65645,9.61139,0.00000,9.00000,1.40950
charlie,robinson,70.00000,30.26353,2.31302,9.60900,0.00000,23.00000,1.20977
nancy,sheriff,37.00000,11.81327,3.13207,9.60107,0.00000,8.00000,1.64712
trump,ontario,26.00000,5.78019,4.49812,9.59616,0.00000,12.00000,2.16932
charlie kirk,robinson,65.00000,27.17692,2.39174,9.58906,0.00000,23.00000,1.25806
case,charlie kirk,49.00000,16.33324,3.00002,9.58176,0.00000,18.00000,1.58497
act,id,24.00000,4.75010,5.05252,9.57574,0.00000,12.00000,2.33700
house,plot,24.00000,4.50906,5.32262,9.57321,0.00000,13.00000,2.41214
election,fbi,43.00000,12.12475,3.54646,9.56652,0.00000,12.00000,1.82638
plan,peace,22.00000,3.98963,5.51429,9.55293,0.00000,10.00000,2.46318
iranian,targets,30.00000,6.56613,4.56890,9.54642,0.00000,5.00000,2.19185
maduro,captured,22.00000,4.65525,4.72585,9.53700,0.00000,18.00000,2.24057
maduro,arrest,25.00000,5.29202,4.72409,9.53240,0.00000,12.00000,2.24004
minnesota,gov,22.00000,3.92914,5.59919,9.53165,0.00000,6.00000,2.48522
california,nick,23.00000,4.53546,5.07115,9.52732,0.00000,15.00000,2.34231
fraud,allegations,21.00000,3.64909,5.75486,9.51832,0.00000,9.00000,2.52478
china,xi,44.00000,13.29579,3.30932,9.51797,0.00000,19.00000,1.72653
trump,oval,38.00000,12.31484,3.08571,9.50859,0.00000,12.00000,1.62560
trump,oval office,38.00000,12.31484,3.08571,9.50859,0.00000,12.00000,1.62560
murder,lindsay clancy,28.00000,6.25367,4.47737,9.48957,0.00000,11.00000,2.16265
dr,covid,26.00000,5.64190,4.60838,9.48915,0.00000,16.00000,2.20426
charlie,tyler robinson,63.00000,26.40130,2.38625,9.47969,0.00000,21.00000,1.25474
trump,orders,55.00000,20.34545,2.70331,9.47133,0.00000,15.00000,1.43473
strike,israeli,20.00000,3.38350,5.91104,9.46506,0.00000,6.00000,2.56341
trump,cabinet meeting,33.00000,9.76574,3.37916,9.46070,0.00000,10.00000,1.75667
china,trade,21.00000,3.75882,5.58686,9.45704,0.00000,9.00000,2.48204
save,voter id,21.00000,3.92401,5.35167,9.45285,0.00000,11.00000,2.41999
world,leaders,20.00000,3.34977,5.97055,9.44215,0.00000,11.00000,2.57786
iran,gulf,52.00000,17.92417,2.90111,9.43244,0.00000,17.00000,1.53661
white,hosts,25.00000,4.98450,5.01555,9.42878,0.00000,8.00000,2.32641
guthrie,family,40.00000,13.56186,2.94945,9.40788,0.00000,5.00000,1.56044
kirk,candace owens,59.00000,22.87960,2.57872,9.38699,0.00000,23.00000,1.36665
iran,vows,59.00000,21.07274,2.79983,9.38060,0.00000,9.00000,1.48534
