word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
key,0.0019104488623271976,82,0.004213929055906717,1022,333,254
guthrie,0.0019033997712877167,48,0.00684454230215768,1660,334,94
rise,0.001901353989131097,90,0.0032449727661434304,787,335,384
blockade,0.0018916650407883701,89,0.003879948377307456,941,336,295
africa,0.0018709238152383027,56,0.005636439353644307,1367,337,155
meeting,0.0018668316078306187,91,0.004605634790066342,1117,338,224
announces,0.0018616666340953195,76,0.003624308845540121,879,339,331
russian,0.0018555034456711839,69,0.006403357948946311,1553,340,107
secretary,0.0018126006383712074,79,0.003570707008234067,866,341,340
nancy,0.0017861830050893376,65,0.004964354778191474,1204,342,187
fires,0.00178603095040683,100,0.0035542141352168195,862,343,342
navy,0.001782923047740535,72,0.003191370928837376,774,344,395
threats,0.0017825958628662581,93,0.0032408495478891183,786,345,385
minister,0.0017657864312084204,73,0.004906629722631108,1190,346,194
push,0.0017320239739959582,81,0.003945919869376446,957,347,288
targets,0.0017172829769352457,81,0.004349995258299008,1055,348,241
launches,0.0017096414893074305,76,0.004832411794053495,1172,349,200
ahead,0.0016908584775623542,67,0.006283784619571268,1524,350,116
officials,0.0016543830640895483,81,0.003768621484441036,914,351,307
forces,0.0016535721789055367,89,0.004053123543988554,983,352,276
rally,0.0016456861776507127,81,0.0031831244923287523,772,353,397
historic,0.0016387344356295977,86,0.0036408017185573685,883,354,329
market,0.0016135714383528495,79,0.0033315603494839794,808,355,366
missiles,0.0016072745423854696,49,0.004712838464678451,1143,356,211
set,0.0016067361708672304,89,0.003479996206639206,844,357,352
sparks,0.0016067131087758259,74,0.0033274371312296673,807,358,367
high,0.0015982429127448952,86,0.003277958512177925,795,359,380
hour,0.001592384713742691,57,0.003743882174915165,908,360,312
allies,0.001579367235473303,84,0.0036944035558634223,896,361,320
nation,0.0015663731575646447,76,0.003917057341596262,950,362,292
drones,0.0015564005512476145,61,0.003826346540001402,928,363,300
army,0.001548379460633798,80,0.004069616417005801,987,364,272
morning,0.0015281564624983319,39,0.007825868246683902,1898,365,74
record,0.0015202083528508322,83,0.0036078159725228738,875,366,337
prime,0.001510722063386898,63,0.0039005644685790155,946,367,293
us-iran,0.0014186265736068188,42,0.006407481167200624,1554,368,106
blasts,0.001379998693074539,64,0.004189189746380845,1016,369,258
eu,0.0013767713939377509,52,0.0046716062821353325,1133,370,216
reports,0.0013729505646100635,61,0.00462212766308359,1121,371,221
saudi,0.001366877049480564,60,0.003764498266186724,913,372,309
action,0.001353776834382288,70,0.0036944035558634223,896,373,320
gulf,0.0012988224989123848,59,0.004069616417005801,987,374,272
thousands,0.0012948426299574098,70,0.0032862049486865486,797,375,378
summit,0.001273438530297832,62,0.004898383286122484,1188,376,196
conflict,0.001261457643398715,57,0.004065493198751489,986,377,274
