creator,genre,predictor,coef_per_sd,se_hc3,p,n,r2,r2_adj,n_topic_dummies,group,organisation,clipper,subscribers
@ANINewsIndia,videos,outrage,0.15986425185462058,0.015629444568942736,1.4793935811808547e-24,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,humor,0.01827541021667893,0.01648317388025835,0.26754613039458197,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,n_tokens,0.11875706724311313,0.015856928257926103,6.924941247623434e-14,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ActualJusticeWarrior,videos,F1,-0.08944058687534451,0.043832191106740824,0.041298279006095805,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F2,0.016168912776598557,0.03670189073926873,0.6595408824418338,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F3,-0.01514984089360795,0.03482222510188117,0.6635171332426348,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F4,0.00795470958130401,0.053493395561749583,0.881786796354683,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F5,-0.019565353142020625,0.06739612844809822,0.7715838212276823,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F6,0.09174883665991902,0.03847668471656025,0.01710092022440522,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F7,0.014437735436197224,0.03889066955858303,0.7104594861101208,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F8,0.03976266371679389,0.030335116266202104,0.18993210124130921,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F9,0.026382033607128375,0.037037795106437114,0.4762788209065485,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F10,0.02339952310075233,0.04653023470421877,0.6150426190578189,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F11,0.016280840309911726,0.0408703911538138,0.6903700449495741,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,F12,0.014815860892774702,0.040109828743390155,0.7118427873234872,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,curiosity_gap,-0.0018639125935370482,0.023144996447520102,0.9358141555040672,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,outrage,-0.012007692084157362,0.036500461583862664,0.7421755631490448,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@ActualJusticeWarrior,videos,n_tokens,0.006595010804827883,0.04609569835627063,0.8862331973975748,392,0.14999622624639086,0.04770350848807692,19,right,Actual Justice Warrior,False,517000.0
@AfterPartyEmily,videos,F1,-0.194728125655922,0.0705623608189459,0.005786154314171927,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F2,0.01874191498034458,0.06174195816234699,0.7614689773101907,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F3,-0.054389135445803344,0.06527938802717738,0.40474620121854743,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F4,-0.10859191263001797,0.06771195074024397,0.10877284455114657,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F5,0.10585046182790991,0.06451116867831279,0.10083721217165566,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F6,0.04994545744769985,0.07108682007417824,0.4823063106778277,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F7,-0.05336813455908537,0.06567365407457586,0.4164323825543067,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
