left_creator,right_creator,distance,distance_percentile_all_pairs
@thomhartmann,@glennbeck,1.9247108552919903,2.111111111111111
@deanwithrs,@TheQuartering,1.924734616084672,2.115079365079365
@EzraKleinShow,@RealDanBongino,1.9251834682204132,2.123015873015873
@thedavidpakmanshow,@RebelNewsOnline,1.9281878832290396,2.138888888888889
@marclamonthillnetwork,@TheAdamCarollaShow1,1.9284245648980687,2.1507936507936507
@rolandsmartin,@TomiLahrenIsFearless,1.9333802355000298,2.1706349206349205
@podsaveamerica,@JesseKellyDC,1.934452025441658,2.178571428571429
@judgingfreedom,@XAVIAER,1.9346027443159162,2.1825396825396823
@DropSiteNews,@RealAmericasVoice,1.9395158115968267,2.214285714285714
@LeejaMiller,@AndrewKlavan,1.9399492486814995,2.2182539682539684
@Xanderhal,@BenShapiro,1.9419087366485306,2.2222222222222223
@TheYoungTurks,@lizwheeler,1.9421404654348884,2.2261904761904763
@therationalnational,@XAVIAER,1.9434747119725575,2.2301587301587302
@TheJoyReidShow,@BenShapiro,1.9447496578577246,2.238095238095238
@podsaveamerica,@XAVIAER,1.944942784108309,2.242063492063492
@SMN,@morebridgetphetasy,1.9458368996060107,2.246031746031746
@TheMichaelCohenShow,@BenShapiro,1.9476134534871374,2.253968253968254
@DueDissidence,@RealAmericasVoice,1.9479463775114993,2.261904761904762
@TheJoyReidShow,@lizwheeler,1.9487067513958631,2.2738095238095237
@destiny,@ThePodcastoftheLotusEaters,1.949812310799783,2.2857142857142856
@LeejaMiller,@MrTariqNasheed,1.9508643935094487,2.2936507936507935
@DropSiteNews,@TomiLahrenIsFearless,1.9525727352157982,2.301587301587302
@destiny,@MichaelKnowles,1.9556271079306673,2.317460317460317
@NovaraMedia,@Styxhexenhammer666,1.9563597213698243,2.325396825396825
@marclamonthillnetwork,@oann,1.9563933182801605,2.3293650793650795
@LegalEagle,@SaltyCracker,1.959278827536953,2.361111111111111
@therationalnational,@MichaelKnowles,1.960331016207097,2.365079365079365
@LegalEagle,@GrahamAllen,1.9606338110069585,2.373015873015873
@underthedesknews,@marklevinshow,1.9649334254594857,2.384920634920635
@Xanderhal,@OfficialSaharTV,1.965556299548193,2.392857142857143
@TheLincolnProject,@MichaelKnowles,1.9657164039470392,2.400793650793651
@judgingfreedom,@JillianMichaels,1.9659471406747553,2.4087301587301586
@OwenReport,@BenShapiro,1.966964701973554,2.412698412698413
@DropSiteNews,@SaltyCracker,1.9677139021508088,2.4166666666666665
@TheMichaelCohenShow,@RubinReport,1.9683500262598983,2.420634920634921
@ajplus,@theisabelbrown,1.9686072837821254,2.4246031746031744
@TheMichaelCohenShow,@MichaelKnowles,1.968984437648257,2.4404761904761907
@nousnetwork,@RufoandLomez,1.9692580747583615,2.4444444444444446
@Forthepeoplepodcast305,@nypost,1.9725261715459284,2.4642857142857144
@TheJoyReidShow,@RealDanBongino,1.972777301264078,2.4801587301587302
@TheJoyReidShow,@AlexStein99,1.9754080166369972,2.5
@BadEmpanadaLive,@JustPearlyThings,1.9763915620929433,2.503968253968254
@DylanBurnsLIVE,@JesseKellyDC,1.9775122597041914,2.507936507936508
@TheJoyReidShow,@oann,1.9818097843995575,2.543650793650794
@TheDailyBeast,@nationalreview,1.9838071236495511,2.555555555555556
@usefulidiots,@chicksonright,1.9856213801506382,2.571428571428571
@dollemore,@TheAdamCarollaShow1,1.9862434165597265,2.5753968253968256
@dollemore,@AnthonyBrianLogan,1.987113145614995,2.579365079365079
@judgingfreedom,@RufoandLomez,1.9894815094325657,2.591269841269841
https://rumble.com/c/GGreenwald,@ChadPrather1,1.989684220993562,2.5952380952380953
@OwenJonesTalks,@SaltyCracker,1.992615926975462,2.615079365079365
@TheJoyReidShow,@JustPearlyThings,1.992730508570832,2.619047619047619
@marclamonthillnetwork,@MegynKelly,1.993191963325536,2.623015873015873
@judgingfreedom,@ColemanHughesOfficial,1.9947282460868885,2.638888888888889
@chriscuomo,@RufoandLomez,1.998722164544958,2.6507936507936507
@BadEmpanadaLive,@lizwheeler,2.000588165355527,2.6626984126984126
@judgingfreedom,@theisabelbrown,2.0014943849024522,2.666666666666667
@GlennKirschner2,@Styxhexenhammer666,2.001631235683113,2.674603174603175
@TheDonLemonShow,@SaltyCracker,2.0034824049122095,2.6904761904761902
@PTLRadioShow,@JesseKellyDC,2.003744191918318,2.6944444444444446
@PTLRadioShow,@TomiLahrenIsFearless,2.0038446399381895,2.6984126984126986
@OwenJonesTalks,@BenShapiro,2.004823832684385,2.7103174603174605
@SMN,@MrTariqNasheed,2.005894150617524,2.7261904761904763
@dollemore,@fightbackpodcast,2.0061663376224668,2.7301587301587302
@TheMichaelCohenShow,@XAVIAER,2.0062839549635685,2.734126984126984
@DropSiteNews,@JesseKellyDC,2.0068205549301266,2.738095238095238
@TheDonLemonShow,@MrTariqNasheed,2.0093319543204538,2.757936507936508
