creator,group,twin_across_divide,twin_distance,twin_rank_among_all_neighbours,nearest_same_group,nearest_same_group_distance,twin_closer_than_any_same_group
@SydneyWatson,right,@Xanderhal,3.21032130517572,1,@The_Crucible,3.2221582683068175,True
@LukeBeasley,left,https://rumble.com/c/TheAlexJonesShowLive,3.257613905116291,2,@SecularTalk,3.0301121432253804,False
@timesofindia,left,@jlptalk,3.26647838799248,2,@DemocracyNow,2.7174004647268273,False
@jlptalk,right,@timesofindia,3.26647838799248,1,@lonerboxlive,4.108214241969293,True
@GeopoliticalEconomyReport,left,@RebelNewsOnline,3.350907702483785,5,@thedavidpakmanshow,2.8671371239944317,False
@bennyjohnson,right,@rolandsmartin,3.6248247384203394,3,@OfficialSaharTV,3.2904338957686887,False
@CashJordan,right,@StatusCoup,3.9662295388424447,1,@lonerboxlive,3.9823279783094034,True
https://rumble.com/c/BannonsWarRoom,right,@cafedotcom,4.052080429044536,1,@RealAlexClark,4.539305127799225,True
@FleccasTalks,right,@DueDissidence,4.218555320448445,3,https://rumble.com/c/nickjfuentes,4.078981736675652,False
@aaronparnas1,left,@RSBN,4.272191250233699,2,@LukeBeasley,5.093617881112504,True
@RSBN,right,@aaronparnas1,4.272191250233699,1,https://rumble.com/c/TheAlexJonesShowLive,6.659575394351167,True
@thewarningwithsteveschmidt,left,@OutKick,4.672752638439723,1,@franifio,5.050533051193133,True
@TheEconomist,left,@nationalreview,4.709090103469949,5,@Vox,3.8663087584306806,False
@DannyHaiphongYT,left,@TheAdamCarollaShow1,5.246981174233279,6,@JamarlThomas,4.5631905970525075,False
@moreperfectunion,left,@X22Report-y5y,5.432166961589455,2,@thewarningwithsteveschmidt,5.668468432704529,True
@AndWeKnowOfficial-o9b,right,@dollemore,6.303949243692877,2,https://rumble.com/c/BannonsWarRoom,6.212634879198518,False
@BelleRanch,left,https://rumble.com/c/russellbrand,13.56008881200496,1,@harryjsisson,13.737157443875969,True
