genre,creator,group,x,y,topic_cluster
videos,@usefulidiots,left,0.1943,-0.5899,0
videos,@wethefifth,neutral,-0.3525,-0.1855,0
videos,@winston_marshall,right,-0.5095,0.2048,0
videos,@wsj,neutral,-0.3919,-0.5376,0
videos,@zeteo,left,0.289,-0.3516,0
videos,https://rumble.com/c/BannonsWarRoom,right,-0.1527,-0.0739,0
videos,https://rumble.com/c/GGreenwald,left,-0.2766,-0.5505,0
videos,https://rumble.com/c/TheAlexJonesShowLive,right,-0.2419,-0.1624,0
videos,https://rumble.com/c/nickjfuentes,right,-0.0961,-0.1109,0
videos,https://rumble.com/c/russellbrand,right,-0.3982,0.3515,0
streams,@ABCNews,neutral,0.1645,-0.6778,0
streams,@ANINewsIndia,neutral,-0.4468,0.5203,0
streams,@AfterPartyEmily,right,0.2871,0.6081,0
streams,@AssociatedPress,neutral,-0.0497,-0.4502,0
streams,@BreakThroughNews,left,0.4462,-0.2721,0
streams,@CBSNews,neutral,0.1419,-0.4729,0
streams,@CNN,left,-0.1218,-0.6471,0
streams,@CamHigby,right,0.5766,-0.3135,0
streams,@ChadPrather1,right,0.7784,-0.1168,2
streams,@DannyHaiphongYT,left,-0.6446,0.3122,0
streams,@DueDissidence,left,-0.0924,0.4933,0
streams,@FarronBalanced,left,-0.6193,-0.3334,0
streams,@Firstpost,neutral,-0.305,-0.2122,0
streams,@FoxNews,right,0.0772,-0.4438,0
streams,@FreshFitMiami,right,0.7383,0.0922,2
streams,@JacksonHinkleOfficial,neutral,-0.566,0.4556,0
streams,@JamarlThomas,left,-0.512,0.2771,0
streams,@JustPearlyThings,right,0.704,0.3134,2
streams,@LIVESNEAKO,neutral,0.6456,-0.3244,0
streams,@LukeBeasley,left,-0.6836,0.1203,0
streams,@MLChristiansen,right,0.2679,0.2886,0
streams,@MeidasTouch,left,-0.4501,-0.3453,0
streams,@ModernDayDebate,left,0.7244,0.183,2
streams,@MyronGainesX,right,0.1718,0.3671,0
streams,@NBCNews,neutral,0.0361,-0.7145,0
streams,@NewsNation,neutral,0.1775,-0.3287,0
streams,@NewsmaxTV,right,0.0759,0.0564,0
streams,@NickCruseRBN,left,-0.2642,0.4944,0
streams,@OwenReport,left,-0.3109,0.1208,0
streams,@PBDPodcast,right,-0.1293,0.1568,0
streams,@PTLRadioShow,left,-0.1952,-0.0805,0
streams,@PhillipScottPodcast,right,0.6168,0.3876,0
streams,@RSBN,right,0.3192,-0.5758,0
streams,@RealAmericasVoice,right,0.0119,-0.013,0
streams,@RebelNewsOnline,right,0.4866,0.5828,0
streams,@RedactedNews,right,-0.4089,0.2455,0
streams,@RekietaLaw,right,0.6513,-0.0993,0
streams,@Reuters,neutral,-0.1169,-0.4404,0
streams,@RobertGouveiaEsq,right,0.3309,0.1256,0
streams,@RubinReport,right,-0.404,-0.5701,0
streams,@SabbySabs,left,0.0568,0.7747,0
streams,@SkyNews,left,-0.2243,-0.3346,0
streams,@StatusCoup,left,-0.453,-0.5121,0
streams,@TheDamageReport,left,0.0144,0.392,0
streams,@TheDonLemonShow,left,0.3255,-0.1028,0
streams,@TheJoyReidShow,left,0.3931,0.0386,0
streams,@TheMajorityReport,left,-0.03,0.2607,0
streams,@TheOfficerTatum,right,0.5038,-0.0787,0
streams,@ThePodcastoftheLotusEaters,right,-0.7357,-0.0337,0
streams,@TheSerfTimes,left,0.3526,0.5374,0
streams,@TheYoungTurks,left,-0.2214,0.2513,0
streams,@TimcastIRL,right,0.1827,0.1039,0
streams,@TimesNowWorld,neutral,-0.2131,-0.2658,0
streams,@USATODAY,neutral,0.0398,-0.5274,0
streams,@Xanderhal,left,0.1674,0.6914,0
streams,@bennyjohnson,right,0.1141,-0.1773,0
streams,@bulwarkmedia,left,-0.3066,-0.0466,0
streams,@chicksonright,right,0.1954,0.5411,0
streams,@deanwithrs,left,-0.5428,-0.2701,0
streams,@franifio,left,-0.117,0.62,0
streams,@glennbeck,right,-0.4465,0.0397,0
streams,@hutch,neutral,-0.242,0.7577,1
streams,@jimacosta,left,0.1869,-0.0522,0
streams,@jlptalk,right,-0.7215,-0.1827,2
streams,@judgingfreedom,left,-0.4482,0.3769,0
streams,@lizwheeler,right,-0.3143,-0.5322,0
streams,@marclamonthillnetwork,left,0.4516,0.3658,0
streams,@markets,neutral,-0.5556,-0.1334,0
streams,@msnow,left,0.2049,-0.4596,0
streams,@nypost,right,0.3707,-0.5607,0
streams,@oann,right,0.2519,-0.6261,0
streams,@rolandsmartin,left,0.5079,0.1526,0
streams,@thehill,neutral,0.1016,-0.5801,0
streams,@thejimmydoreshow,neutral,-0.2794,0.3868,0
streams,@thewarningwithsteveschmidt,left,-0.6385,0.0726,0
streams,@timesofindia,left,-0.0924,-0.2123,0
streams,@underthedesknews,left,0.0516,0.5555,0
