creator,genre,caps_share,exclamations,power_words,emoji,vader_intensity,n_titles,caps_share_01,exclamations_01,power_words_01,emoji_01,vader_intensity_01,arousal_index,low_n,group,organisation,clipper,rank_in_genre,percentile_in_genre
@usefulidiots,videos,0.15344045888400729,0.03763440860215054,0.9354838709677419,0.0,0.3124462365591398,186,0.23377140269588467,0.03568367103262296,0.9894302486369304,0.0,0.8240722560693635,0.41659151568696035,False,left,Useful Idiots,False,44.0,82.00836820083683
@TheDamageReport,videos,0.16485798845349406,0.017790262172284643,0.8907615480649188,0.0,0.31311423220973783,3204,0.2521381647236303,0.01686812378668934,0.937283713621935,0.0,0.8271298451260565,0.4066839694516622,False,left,TYT Network,False,45.0,81.58995815899581
@Timcast,videos,0.6236040522925769,0.00546448087431694,0.44808743169398907,0.0,0.26242076502732237,183,0.990098135347659,0.005181235606610359,0.42112266000833404,0.0,0.5950927197884804,0.40229895015021677,False,right,Timcast,False,46.0,81.17154811715481
@SNEAKO,videos,0.6,0.0,0.2,0.0,0.3276,5,0.9521275736153884,0.0,0.1318510143534022,0.0,0.8934349550974263,0.3954827086132434,True,neutral,SNEAKO,False,,
@timesofindia,videos,0.1792274737254858,0.10165222647592183,1.085432198267177,0.0,0.2607323191617973,9926,0.2752535781627331,0.09638319676141276,1.0,0.0,0.5873642658732103,0.39180020815947125,False,left,Times Group,False,47.0,80.75313807531381
@breakingpoints,videos,0.3222214809726863,0.03085824493731919,0.5650916104146577,0.0,0.31401060752169724,1037,0.5052803003638232,0.02925874224909379,0.5575503343001134,0.0,0.8312327870270749,0.38466443278802104,False,left,Breaking Points,False,48.0,80.3347280334728
https://rumble.com/c/nickjfuentes,videos,0.3649498770810246,0.15081967213114755,0.49508196721311476,0.0,0.2861344262295082,305,0.5740151591940927,0.14300210274244593,0.4759186105068454,0.0,0.7036362872817904,0.3793144319450349,False,right,Nick Fuentes,False,49.0,79.9163179916318
@GeopoliticalEconomyReport,videos,0.08575662884873411,0.041666666666666664,0.8333333333333334,0.0,0.31693055555555555,72,0.1248920876200119,0.03950692150040398,0.8703220216531071,0.0,0.8445981452392789,0.3758638352025604,False,left,Geopolitical Economy Report,False,50.0,79.49790794979079
@OwenJonesTalks,videos,0.16830246529817347,0.004291845493562232,0.7424892703862661,0.008583690987124463,0.3011716738197425,233,0.2576791082465951,0.004069382472144617,0.7643972216451305,0.0572554299941573,0.7724656630921256,0.37117336109003063,False,left,Owen Jones,False,51.0,79.07949790794979
@ActualJusticeWarrior,videos,0.24090242948661317,0.0,0.4923469387755102,0.0,0.39386479591836737,392,0.3744667423277447,0.0,0.4727295486037225,0.0,1.0,0.3694392581862934,False,right,Actual Justice Warrior,False,52.0,78.66108786610879
@NickShirley,videos,0.026448985042735042,0.0,0.5,0.0625,0.32934375,32,0.029487090104419616,0.0,0.4816530704427361,0.41689109964495785,0.9014165503560704,0.3658895621096368,True,right,Nick Shirley,False,,
@podsaveamerica,videos,0.14727307092374559,0.008995502248875561,0.7436281859070465,0.0,0.3085217391304348,667,0.2238502593951801,0.008529230428872825,0.7657252049480672,0.0,0.8061088151692846,0.36084270198828095,False,left,Crooked Media,False,53.0,78.24267782426779
@deanwithrs,videos,0.31330152028265235,0.018867924528301886,0.4037735849056604,0.0,0.3322754716981132,265,0.49093124225159057,0.017889926717164068,0.36945241094238374,0.0,0.9148357996781203,0.3586218759178517,False,left,Dean Withers,False,54.0,77.82426778242679
@RestPoliticsUS,videos,0.23168686111867928,0.1,0.5727272727272728,0.0,0.28997272727272727,220,0.3596421561390995,0.09481661160096957,0.5664535688886353,0.0,0.7212051850066972,0.34842350432708036,False,left,The Rest Is Politics US,False,55.0,77.40585774058577
@AnthonyBrianLogan,videos,0.20053554196699358,0.8629032258064516,0.25806451612903225,0.0,0.22099193548387094,248,0.3095307145853655,0.8181756001051407,0.1995546381126281,0.0,0.4054622398141796,0.3465446385234628,False,right,Anthony Brian Logan,False,56.0,76.98744769874477
@TheDonLemonShow,videos,0.09927316156824353,0.6284153005464481,0.34153005464480873,0.00546448087431694,0.2597513661202186,366,0.14663540244031467,0.5958420947601913,0.2968760280640351,0.036449495050925276,0.5828741898040393,0.33173544202390115,False,left,Don Lemon,False,57.0,76.56903765690377
@chicksonright,videos,0.11289010198607721,0.1957894736842105,0.6631578947368421,0.023157894736842106,0.23363368421052633,475,0.16854023769195525,0.1856409448187404,0.6718962939299176,0.15446912323686862,0.4633267970601397,0.3287746793475243,False,right,Chicks on the Right,False,58.0,76.15062761506276
@HasanAbi,videos,0.5507571162029761,0.1735668789808917,0.22611464968152867,0.006369426751592357,0.2197547770700637,628,0.8729132109325051,0.16457023351123698,0.16230087486224018,0.042485717161269594,0.39979944541714124,0.32841389637687857,False,left,HasanAbi,False,59.0,75.73221757322176
@PTLRadioShow,videos,0.1507525730239461,0.0332541567695962,0.7268408551068883,0.007719714964370546,0.2596104513064133,1684,0.22944754615152144,0.03153046466540556,0.7461510621809102,0.05149248736707318,0.5822291862142236,0.3281701493158268,False,left,Pushing the Limits,False,60.0,75.31380753138075
@thedavidpakmanshow,videos,0.24994240981443908,0.017062766605728214,0.49055453991468617,0.0,0.29818890920170626,1641,0.389008869537155,0.01617833714093326,0.47063959924756105,0.0,0.7588127771090606,0.326927916606942,False,left,David Pakman,False,61.0,74.89539748953975
@FarronBalanced,videos,0.1430356893418691,0.09775280898876404,0.48146067415730337,0.0,0.32047471910112363,1780,0.21703381292473964,0.09268590122791406,0.4600360894484514,0.0,0.8608206994765064,0.3261153006155223,False,left,Farron Balanced,False,62.0,74.47698744769873
@GlennKirschner2,videos,0.11355093479588314,0.7251908396946565,0.1717557251908397,0.0,0.27380152671755725,262,0.16960328367611183,0.6876013818390923,0.0989179963500807,0.0,0.6471854128617635,0.3206616149454097,False,left,Glenn Kirschner,False,63.0,74.05857740585773
@AnaEscobarShow,videos,0.33743548118548117,0.59375,0.40625,0.0,0.16159375,32,0.5297542392923681,0.5629736313807568,0.37233992791481924,0.0,0.1335813649008446,0.31972983269775773,True,right,Ana Escobar,False,,
@ChadPrather1,videos,0.0791373062191077,0.5125,0.35,0.0,0.2804625,160,0.11424394147041671,0.485935134454969,0.30675204239806914,0.0,0.6776744122992403,0.316921106124539,False,right,Chad Prather,False,64.0,73.64016736401673
@CamHigby,videos,0.14226315798896444,0.3763440860215054,0.3978494623655914,0.021505376344086023,0.24294086021505376,186,0.21579108353819249,0.35683671032622954,0.3625448434589127,0.14344639987783497,0.5059281515370443,0.3169094377476428,False,right,Cam Higby,False,65.0,73.22175732217573
@RedactedNews,videos,0.09818174389523948,0.20353982300884957,0.7300884955752213,0.0,0.2358938053097345,452,0.1448796978852318,0.19298956343560178,0.7499378332251161,0.0,0.4736719565436674,0.3122958102179234,False,right,Redacted,False,66.0,72.80334728033473
@DueDissidence,videos,0.29025880216025096,0.03732503888024884,0.42457231726283046,0.0,0.2802814930015552,643,0.4538636684256713,0.03539033714499642,0.39370387541768326,0.0,0.6768458963992727,0.3119607554775247,False,left,Due Dissidence,False,67.0,72.38493723849372
@TheRealTabithaSpeaks,videos,0.0347871121084942,1.176991150442478,0.14380530973451328,0.015486725663716814,0.20461504424778762,452,0.0429001839476955,1.0,0.06632762036616709,0.10330044946954708,0.33050096816328184,0.3086058443893383,False,left,Tabitha Speaks,False,68.0,71.96652719665272
@RealAmericasVoice,videos,0.31503482173478403,0.010931021485111195,0.5212966453071994,0.013569543912551827,0.22835092348284963,2653,0.4937195105104903,0.010364424185556418,0.5064851048302815,0.09051235333414841,0.4391462333459744,0.3080455252412902,False,right,Real America's Voice,False,69.0,71.54811715481172
@lovettorleaveitpodcast,videos,0.11056611517137833,0.043859649122807015,0.6491228070175439,0.0,0.2761140350877193,114,0.16480176585166628,0.04158623315831998,0.6555312854579022,0.0,0.657770362449067,0.3039379293833911,False,left,Crooked Media,False,70.0,71.1297071129707
@DestinyDGGClips,videos,0.12202971138377837,0.10526315789473684,0.5263157894736842,0.014354066985645933,0.26648803827751194,209,0.1832426327952482,0.09980695957996796,0.5123374613277654,0.0957453243203731,0.6137096825923933,0.3009684121231496,False,right,Destiny,True,71.0,70.7112970711297
@RubinReport,videos,0.03821586894231425,0.004775549188156638,0.7717287488061128,0.0,0.2663209169054441,1047,0.04841583953978434,0.004528013925547735,0.7984906538792707,0.0,0.6129447247997541,0.2928758464288713,False,right,Rubin Report,False,72.0,70.29288702928869
@TheAdamCarollaShow1,videos,0.08944749860051425,0.26329113924050634,0.3468354430379747,0.05063291139240506,0.22913164556962026,395,0.1308293900805649,0.24964373687343888,0.3030621472916416,0.3377345617376874,0.44271980048925025,0.2927979272945166,False,right,Adam Carolla,False,73.0,69.8744769874477
@TuckerCarlson,videos,0.02751372179202135,0.0,0.7647058823529411,0.0,0.2711512605042017,119,0.031199874501194873,0.0,0.7903019434627366,0.0,0.6350544581706303,0.29131125522691237,False,neutral,Tucker Carlson Network,False,74.0,69.4560669456067
@Vaush,videos,0.35607490375702294,0.026490066225165563,0.33995584988962474,0.0,0.256401766004415,453,0.5597384698233766,0.025116983205554853,0.2950404945304719,0.0,0.5675422027630921,0.28948763006449907,False,left,Vaush,False,75.0,69.0376569037657
@rolandsmartin,videos,0.042989796525550454,0.09299191374663072,0.7210242587601078,0.0026954177897574125,0.24969946091644202,742,0.056095398530664316,0.08817178167745149,0.7393688709757583,0.017979130981992792,0.5368640169496719,0.28769583982310776,False,left,Black Star Network,False,76.0,68.6192468619247
@JesseKellyDC,videos,0.1626645840931555,0.05357142857142857,0.45436507936507936,0.0,0.2826607142857143,504,0.24860975381198958,0.05079461335766227,0.4284424402175067,0.0,0.6877362082678947,0.28311660313101067,False,right,Jesse Kelly,False,77.0,68.20083682008368
@SydneyWatson,videos,0.08696981524850378,0.0,0.45901639344262296,0.0,0.3174262295081967,61,0.12684367493706306,0.0,0.43386590431031347,0.0,0.8468669732652195,0.2815153105025192,False,right,Sydney Watson,False,78.0,67.78242677824268
@FleccasTalks,videos,0.7829311588794348,0.03103448275862069,0.08275862068965517,0.0,0.21254482758620688,290,1.0,0.029425844979611246,0.0,0.0,0.36679763975955554,0.2792446969478334,False,right,Fleccas Talks,False,79.0,67.36401673640168
@TheSerfTimes,videos,0.17713340019246188,0.145748987854251,0.4008097165991903,0.0,0.26702834008097165,247,0.2718849553783053,0.1381942517261095,0.36599652018377954,0.0,0.616182783847006,0.2784517022270401,False,left,Serf Times,False,80.0,66.94560669456067
@fightbackpodcast,videos,0.17068722744560066,0.4178628389154705,0.3349282296650718,0.0,0.22916427432216907,627,0.2615153460761539,0.39620338499926677,0.28917825489118876,0.0,0.44286915073821886,0.2779532273409656,False,right,Jake Shields,False,81.0,66.52719665271967
@TheYoungTurks,videos,0.2052101673702092,0.09100418410041841,0.38702928870292885,0.0,0.27051917712691775,2868,0.3170505315323844,0.08628708377912503,0.34992844681076934,0.0,0.6321612488876498,0.2770854622019857,False,left,TYT Network,False,82.0,66.10878661087865
@CashJordan,videos,0.47890583960818073,0.0,0.26755852842809363,0.0,0.21578595317725752,299,0.7573299500725417,0.0,0.21062472152179176,0.0,0.3816331108134336,0.2699175564815534,False,right,Cash Jordan,False,83.0,65.69037656903765
@TheHumanistReport,videos,0.0630844894643596,0.03896103896103896,0.5064935064935064,0.006493506493506494,0.2792922077922078,154,0.08842064375832509,0.03694153698739074,0.4892245435182628,0.04331336100207355,0.6723176818407788,0.2660435534213662,False,left,Humanist Report,False,84.0,65.27196652719665
