a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein,trump,channels,13,-0.0347,-0.0184,0.1227
epstein,trump,channels,14,0.0135,0.0455,0.1227
epstein,files,pooled,-14,0.0016,-0.0237,0.1225
epstein,files,pooled,-13,0.0343,-0.0138,0.1225
epstein,files,pooled,-12,0.0819,0.0785,0.1225
epstein,files,pooled,-11,0.0443,-0.0558,0.1225
epstein,files,pooled,-10,0.1008,0.0497,0.1225
epstein,files,pooled,-9,0.1015,0.0141,0.1225
epstein,files,pooled,-8,0.1487,0.0739,0.1225
epstein,files,pooled,-7,0.1455,0.0916,0.1225
epstein,files,pooled,-6,0.0806,-0.1111,0.1225
epstein,files,pooled,-5,0.1834,0.0871,0.1225
epstein,files,pooled,-4,0.2250,0.0528,0.1225
epstein,files,pooled,-3,0.2779,0.0517,0.1225
epstein,files,pooled,-2,0.3450,0.0599,0.1225
epstein,files,pooled,-1,0.4500,0.0677,0.1225
epstein,files,pooled,0,0.5956,0.4220,0.1225
epstein,files,pooled,1,0.3805,-0.0294,0.1225
epstein,files,pooled,2,0.3120,0.1219,0.1225
epstein,files,pooled,3,0.2038,0.0237,0.1225
epstein,files,pooled,4,0.1096,0.0401,0.1225
epstein,files,pooled,5,0.0217,0.0266,0.1225
epstein,files,pooled,6,-0.1057,-0.1655,0.1225
epstein,files,pooled,7,-0.0598,0.0249,0.1225
epstein,files,pooled,8,-0.0671,-0.0993,0.1225
epstein,files,pooled,9,0.0237,0.1177,0.1225
epstein,files,pooled,10,-0.0168,-0.0035,0.1225
epstein,files,pooled,11,-0.0589,-0.0929,0.1225
epstein,files,pooled,12,-0.0006,0.0330,0.1225
epstein,files,pooled,13,0.0175,0.0217,0.1225
epstein,files,pooled,14,0.0085,0.0633,0.1225
epstein,files,channels,-14,0.0048,-0.0272,0.1227
epstein,files,channels,-13,0.0559,0.0425,0.1227
epstein,files,channels,-12,0.0580,0.0188,0.1227
epstein,files,channels,-11,0.0331,-0.0469,0.1227
epstein,files,channels,-10,0.0851,0.0201,0.1227
epstein,files,channels,-9,0.1023,0.0461,0.1227
epstein,files,channels,-8,0.1388,0.0747,0.1227
epstein,files,channels,-7,0.1385,0.0790,0.1227
epstein,files,channels,-6,0.0593,-0.1327,0.1227
epstein,files,channels,-5,0.1967,0.1121,0.1227
epstein,files,channels,-4,0.2050,0.0429,0.1227
epstein,files,channels,-3,0.2458,0.0353,0.1227
epstein,files,channels,-2,0.3019,0.0230,0.1227
epstein,files,channels,-1,0.4235,0.1398,0.1227
epstein,files,channels,0,0.5343,0.3585,0.1227
epstein,files,channels,1,0.3238,0.0005,0.1227
epstein,files,channels,2,0.2866,0.1055,0.1227
epstein,files,channels,3,0.1781,0.0418,0.1227
epstein,files,channels,4,0.0780,-0.0015,0.1227
epstein,files,channels,5,0.0234,0.0231,0.1227
epstein,files,channels,6,-0.0997,-0.1533,0.1227
epstein,files,channels,7,-0.0457,-0.0003,0.1227
epstein,files,channels,8,-0.0646,-0.0773,0.1227
epstein,files,channels,9,0.0330,0.1257,0.1227
epstein,files,channels,10,-0.0274,-0.0150,0.1227
epstein,files,channels,11,-0.0679,-0.0959,0.1227
epstein,files,channels,12,-0.0071,0.0120,0.1227
epstein,files,channels,13,0.0087,0.0192,0.1227
epstein,files,channels,14,0.0395,0.1174,0.1227
epstein,israel,pooled,-14,-0.0444,0.0131,0.1225
epstein,israel,pooled,-13,-0.1034,-0.0370,0.1225
epstein,israel,pooled,-12,-0.1479,-0.0444,0.1225
epstein,israel,pooled,-11,-0.1842,-0.0416,0.1225
epstein,israel,pooled,-10,-0.2197,-0.1052,0.1225
epstein,israel,pooled,-9,-0.1922,-0.0652,0.1225
epstein,israel,pooled,-8,-0.1481,0.0283,0.1225
epstein,israel,pooled,-7,-0.1831,-0.1101,0.1225
epstein,israel,pooled,-6,-0.1278,0.0052,0.1225
epstein,israel,pooled,-5,-0.1219,-0.0721,0.1225
epstein,israel,pooled,-4,-0.0626,0.0460,0.1225
epstein,israel,pooled,-3,-0.0818,-0.0341,0.1225
epstein,israel,pooled,-2,-0.0833,0.0278,0.1225
epstein,israel,pooled,-1,-0.1489,-0.0613,0.1225
epstein,israel,pooled,0,-0.1823,-0.0892,0.1225
epstein,israel,pooled,1,-0.1533,-0.0070,0.1225
epstein,israel,pooled,2,-0.1665,-0.0808,0.1225
epstein,israel,pooled,3,-0.1309,-0.0459,0.1225
epstein,israel,pooled,4,-0.0672,-0.0071,0.1225
epstein,israel,pooled,5,-0.0151,0.0780,0.1225
epstein,israel,pooled,6,-0.0625,-0.0078,0.1225
epstein,israel,pooled,7,-0.1103,-0.0767,0.1225
epstein,israel,pooled,8,-0.0930,-0.0311,0.1225
epstein,israel,pooled,9,-0.0579,0.0176,0.1225
epstein,israel,pooled,10,-0.0734,0.0302,0.1225
epstein,israel,pooled,11,-0.1712,-0.1110,0.1225
epstein,israel,pooled,12,-0.1797,-0.1339,0.1225
epstein,israel,pooled,13,-0.0788,-0.0053,0.1225
epstein,israel,pooled,14,-0.0058,0.0790,0.1225
epstein,israel,channels,-14,-0.0509,0.0155,0.1227
epstein,israel,channels,-13,-0.1083,-0.0387,0.1227
epstein,israel,channels,-12,-0.1369,-0.0422,0.1227
epstein,israel,channels,-11,-0.1394,0.0004,0.1227
