organisation,genre,n_channels,channels,n_unique,F1_controlled,F1_raw,F2_controlled,F2_raw,F3_controlled,F3_raw,F4_controlled,F4_raw,F5_controlled,F5_raw,F6_controlled,F6_raw,F7_controlled,F7_raw,F8_controlled,F8_raw,F9_controlled,F9_raw,F10_controlled,F10_raw,F11_controlled,F11_raw,F12_controlled,F12_raw
Black Star Network,streams,1,@rolandsmartin,569,-0.1730336252541336,-0.1584754236696842,-0.865390528158067,-0.9383166664362956,-0.244013581814255,-0.2697546008781798,-0.2989854375674281,-0.45199565627456917,-0.6402778098506156,-0.837755710740256,0.9327722419940788,1.1151215066028213,-0.07531300457452,0.090401396013467,0.3769833865420584,0.46018043572645034,-0.9920458610409819,-1.2143851087035555,-0.3851962197321706,-0.0727885959087129,0.6667509104609195,1.1574694336306055,-0.2624765259872248,-0.3597363377322268
Black Star Network,videos,1,@rolandsmartin,698,-0.4013552736101679,-0.6146684567390991,0.2736564788739294,0.3353900164935463,-0.3724407488241562,-0.46564281900149773,-0.0013995339204198,-0.11974290228037308,-0.4201765489975987,-0.6398799495790655,0.5962966150338368,0.7238304841034984,-0.6759716379602331,-0.5522850233163475,0.1673598372151478,0.0941426701441746,-0.8900942828427743,-1.1644162874931236,1.3677926832378038,1.715065511687793,0.0757488268413059,0.4443884382915498,-0.2646243786051677,-0.3760114380855745
Blaire White,videos,1,@BlaireWhiteX,10,-0.0805519587742108,0.2415821030588213,1.4618398112311657,1.741189093196272,-0.31153110074517,-0.5004848553133655,0.4984869952331004,0.40245767190790876,-0.6712459618599055,-0.4735882964769183,-0.7935213607776594,-1.2034963291334524,-0.961257911928819,-0.7218156819985833,-0.867861083387862,-0.5881024057495303,-0.7470002042876274,-0.8485473561159074,-0.9352247823712224,-0.5751142745047377,-2.1391081416717115,-2.129401851366184,0.1458493957268403,-0.1613109435295538
Blaze Media,streams,2,@BlazeTV; @glennbeck,139,0.0643700157712489,0.03046639931821986,-0.13806925835911796,0.03721303997479401,0.018177702386194622,0.031540972712942476,-0.14997366721559957,-0.19057753763395915,1.716796866127299,1.7018939221005696,-0.34166421490172105,-0.007045456510273728,-0.8094857174765477,-0.6016841372801303,0.1372161828775794,0.1048950171943856,-0.8256366112118233,-0.9557369782205083,-0.5806752238294931,-0.0975352159243587,-0.3236822670685778,-0.09068566205624845,-0.1623977259331725,0.06681891106182253
Blaze Media,videos,2,@BlazeTV; @glennbeck,1266,-0.3501693893396528,-0.36507537058741096,0.5781888716539917,0.7404374271730081,-0.0526890325060043,-0.0413449193083367,0.3366865682746786,0.3029504502155758,1.2459962303408554,1.1920117715585787,-0.23651830609766067,-0.10201818403548214,-1.1153234423472511,-0.8738205550249953,-0.1577292107908136,-0.19102080636265728,-0.6066940503893378,-0.7136387952028902,0.6245181602100062,1.0155016101144683,0.2875012268246885,0.5351969913541549,-0.7131983621765379,-0.6477989556563005
Bloomberg,streams,1,@markets,55,0.3310701748819132,0.7288135875032747,-2.1628122942177264,-2.1715700578746553,0.0922925256770881,0.4446038109329583,-0.1706942908550864,-0.3393616368397113,-0.8260417107929666,-1.0675069340828314,0.5429147463997352,0.8273327494981307,-0.5014809812732677,0.09926666179140668,0.1911538579196507,0.4703566028224232,-0.4063173877332199,-0.6629072074011519,-0.5882211503836404,-0.3642135454511413,-0.8538671657531723,-0.4521026599458232,0.1319247898235194,0.7530241715964986
Bloomberg,videos,1,@markets,7665,0.552137579782019,0.7004021992000137,-1.066061238778272,-0.979946436341842,-0.4155265007695934,-0.2692621844826102,-0.2567146442731172,-0.3985449908940718,-0.4365262496992055,-0.4683224682786561,0.1104257196550965,-0.0336165490051338,-0.3431252614773869,0.27493207069999676,0.2712824488684111,0.5518068413238424,-0.4153019272448482,-0.6389444529240753,-0.6197079722526991,-0.2867980911846749,-0.3699285598639215,-0.0177369936859375,0.4740911265724377,1.30790707085848
BreakThrough News,streams,1,@BreakThroughNews,56,-0.982875102180384,-1.451777240459905,-0.4200251695618177,-0.3993075005265459,1.9084415894054467,2.08360737564252,-0.2946843810988441,-0.4441612676702829,-0.2132409011412133,-0.4452970835904996,0.1990530000596273,-0.0351585795254434,-1.4556564897820177,-0.6379962478001457,-0.3558224596839115,-0.2288610647471389,-0.5204161728756505,-0.7715179634455999,-0.7050847155346525,-0.0697835141401905,-1.014546662094298,-0.7900749094762309,1.006671713242165,1.9947262745570007
BreakThrough News,videos,1,@BreakThroughNews,234,-0.0946312858929027,-0.3919763290271521,0.1103413563714943,0.1474301902273855,-0.2427372096916195,-0.1023850199187416,-0.0797906215774334,-0.1984948065253231,0.953030695763856,0.8503902237847385,0.282337415567904,0.104778488468004,-1.0789958678969764,-0.4215462974381548,-0.0646941497991556,-0.03448684058322941,-0.332957551760241,-0.4989700497406881,0.7844626986106183,1.407677368650576,-0.7811066577011972,-0.5444986854080965,0.4768051194824165,1.343114189041401
Breaking Points,streams,1,@breakingpoints,4,0.6375555695523096,0.7142352163933463,-2.747351485564672,-3.027957760784553,0.8742411674797383,1.2118095268125857,-0.2222699055396357,-0.3665218335639433,-0.4848443821268446,-0.8320177203497497,-1.9311084877053368,-1.7256049635794368,-0.9152628663406064,-0.3580030943610848,-1.2229768578205005,-0.7970425739343294,1.2709381977700211,1.0502167378718543,-0.7588963529630524,-0.5107239499723277,-1.494146087782675,-0.9101375666180344,0.6404261360615795,1.0901576446006933
Breaking Points,videos,1,@breakingpoints,998,-0.7945829374343537,-1.1034674903404798,-1.4119935656930571,-1.353053444016992,-0.1860651981175342,-0.1565474981975195,-0.5371862915541327,-0.6306139671133367,-0.6720929303396146,-0.8279605565575546,0.0558858790836063,0.1250924558799635,-0.3822463178510218,0.0393913997547939,-0.1667351520583462,-0.1544021683554424,0.885542662448986,0.8793043008633282,-0.1620788695588839,0.2410041512753398,-0.5678301060136307,-0.3778872738119618,-0.3615754105836395,0.2277380208057255
Brett Cooper,videos,1,@bbrettcooper,139,0.4161625772534156,0.7611104403669671,1.1823793605362738,1.41055791946478,-0.3518705813451846,-0.513178990644984,-0.0427003028783203,0.0109022776719798,0.6959410882367977,0.7678754070592394,-0.7173063833887771,-0.7204618284430557,-0.677968814847761,-0.6241109165555515,-0.4802090681504967,-0.6080460791822212,-0.4504659247880417,-0.4590705912223351,-0.6563079894547154,-0.5116920997635367,-1.000699123471396,-0.9971890658188705,0.24861093196892411,-0.1014664523490553
Brian Tyler Cohen,streams,1,@briantylercohen,10,0.8184534687385913,0.9042679274695102,-0.2766755460080563,-0.3066469080972455,2.5918376065562767,2.7637326389945187,0.0412555792464268,-0.0316825611293087,-0.5691385921441688,-0.9605935494725923,-1.460427391394426,-0.7936098448260126,0.665143052157034,0.9665685192179072,0.4444446274698005,0.4014269330620718,3.2433055842145806,3.3829397148096505,0.2840037403462719,0.4487353723951606,-1.2179104556751474,-0.7923610223392921,-1.00973215089155,-1.132554194125296
