term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
reserve,kevin warsh,56.00000,1.67187,33.49542,46.27611,0.00000,23.00000,0.68656,6.45466,5.06589,5,47,4
canada,tariffs,217.00000,20.27523,10.70271,46.25121,0.00000,41.00000,0.46656,3.65710,3.41990,48,142,27
tiger,dui,60.00000,1.68936,35.51650,46.24662,0.00000,18.00000,0.80064,8.00686,5.15042,2,36,22
entry,denied,23.00000,0.24656,93.28276,46.19575,0.00000,12.00000,0.65586,6.61693,6.54354,2,18,3
committee,oversight,48.00000,1.06108,45.23691,46.17567,0.00000,14.00000,0.56588,5.25403,5.49943,12,30,6
ahead,midterms,146.00000,9.36861,15.58395,46.06788,0.00000,32.00000,0.39897,3.23776,3.96199,70,45,31
court,ruling,327.00000,45.82807,7.13537,46.05268,0.00000,63.00000,0.52330,4.19042,2.83499,134,123,70
house,correspondents dinner,286.00000,37.98537,7.50289,46.01961,0.00000,50.00000,0.50944,4.69961,2.90745,43,200,42
powell,fed chair,81.00000,3.03031,26.72991,46.00435,0.00000,26.00000,0.68275,6.20485,4.74038,15,56,10
supreme,ruling,282.00000,34.88721,8.08319,45.97898,0.00000,57.00000,0.54461,4.34181,3.01493,106,111,65
secretary,mullin,102.00000,4.70353,21.68586,45.96881,0.00000,21.00000,0.48178,4.14011,4.43868,14,58,30
strategic,partnership,35.00000,0.57229,61.15737,45.94162,0.00000,9.00000,0.59498,5.75690,5.93445,2,29,4
health,care,106.00000,5.42203,19.54988,45.82402,0.00000,29.00000,0.48575,4.13412,4.28909,20,67,19
heated,exchange,52.00000,1.29281,40.22251,45.75628,0.00000,15.00000,0.53925,4.93832,5.32993,6,32,14
prices,fuel,149.00000,9.78311,15.23033,45.71338,0.00000,25.00000,0.48156,3.96420,3.92888,50,89,10
shooting,fatal,222.00000,22.36201,9.92755,45.69600,0.00000,41.00000,0.50505,4.18865,3.31144,55,137,30
takes,turn,140.00000,8.96345,15.61899,45.62840,0.00000,41.00000,0.43716,3.57800,3.96523,98,15,27
nato,mark rutte,117.00000,7.05952,16.57336,45.57499,0.00000,16.00000,0.58263,7.50396,4.05079,15,100,2
job,finish,55.00000,1.45854,37.02336,45.56986,0.00000,24.00000,0.60107,5.69393,5.21036,7,16,31
leader,mojtaba,130.00000,7.75784,16.75725,45.50185,0.00000,19.00000,0.53346,4.67945,4.06671,25,100,5
pride,berlin,63.00000,1.91012,32.98228,45.48713,0.00000,18.00000,0.68372,6.35636,5.04362,10,47,6
alarm,sound,69.00000,2.26486,30.02395,45.44989,0.00000,33.00000,0.64338,5.98694,4.90804,30,13,25
square,garden,27.00000,0.35118,76.88329,45.43624,0.00000,12.00000,0.60557,5.96804,6.26460,1,23,3
congo,ebola outbreak,70.00000,2.54666,27.48698,45.40476,0.00000,13.00000,0.72696,6.81453,4.78068,22,47,1
shooting,suspect,227.00000,22.23431,10.20945,45.36982,0.00000,29.00000,0.44501,3.53317,3.35183,24,155,48
