term,n_titles,degree,strength,betweenness,community
exposed,2087,17,31.83476,0.00255,1
south carolina,256,8,31.79664,0.00003,1
campaign,772,10,30.95482,0.00324,1
ken paxton,227,9,29.62779,0.00001,1
la,567,9,28.85248,0.00017,1
spencer pratt,330,10,28.76944,0.00042,1
spencer,375,10,28.55668,0.00042,1
fight,1750,14,28.46760,0.00057,1
ken,314,9,28.46448,0.00001,1
pay,722,9,28.12425,0.00026,1
omar,612,10,27.95678,0.00047,1
seat,317,9,27.62916,0.00039,1
stop,1391,12,27.55114,0.00408,1
dhs funding,253,10,27.07324,0.00026,1
price,485,8,27.04767,0.00066,1
voter,634,11,25.90885,0.00088,1
passes,309,7,25.80555,0.00228,1
james talarico,209,7,25.56521,0.00001,1
midterms,1008,11,25.32257,0.00057,1
wife,652,9,24.80770,0.00047,1
senator,859,10,24.67412,0.00020,1
time,1785,10,24.60727,0.00078,1
hall,293,7,24.57818,0.00026,1
ilhan,493,8,23.63102,0.00034,1
ilhan omar,478,8,23.62219,0.00034,1
democrat,1204,13,23.45669,0.00131,1
tribute,335,6,22.89985,0.00006,1
abdul el-sayed,369,9,22.73998,0.00009,1
newsom,792,9,22.63296,0.00066,1
pass,250,8,22.46049,0.00078,1
collins,191,6,22.16316,0.00077,1
massie,432,10,21.83975,0.00060,1
hungary,352,7,21.53532,0.00033,1
assault,460,6,21.02193,0.00000,1
resolution,175,6,20.98830,0.00076,1
town,308,5,20.42131,0.00000,1
socialist,495,8,20.37307,0.00012,1
dark,552,8,20.25877,0.00093,1
tim walz,349,7,20.20417,0.00007,1
jeffries,346,7,20.09587,0.00013,1
mayoral,112,5,19.64497,0.00000,1
bass,113,6,19.42901,0.00000,1
apple,275,5,19.20497,0.00003,1
government,1432,7,19.05442,0.00022,1
lines,293,5,18.90050,0.00026,1
crockett,269,6,18.70966,0.00001,1
chemical,124,4,18.19302,0.00046,1
karen,236,6,18.06235,0.00000,1
polls,583,6,17.79126,0.00007,1
capitol,410,6,17.70670,0.00027,1
convention,390,8,17.43927,0.00039,1
push,1113,8,17.35137,0.00027,1
tucker,908,10,17.25484,0.00273,1
eric,505,5,17.19243,0.00010,1
frey,138,6,16.68804,0.00015,1
misconduct,113,4,16.65763,0.00000,1
chip,264,5,16.02080,0.00042,1
miller,537,5,15.84260,0.00006,1
max,246,4,15.76067,0.00016,1
senators,325,5,15.42449,0.00001,1
workers,561,5,15.17491,0.00009,1
mike,1070,5,15.14678,0.00006,1
thune,141,4,14.83163,0.00001,1
fetterman,317,5,14.75626,0.00055,1
candidates,294,5,14.72034,0.00001,1
sudden,179,4,14.67684,0.00000,1
nick shirley,218,6,14.66692,0.00018,1
shirley,225,6,14.58537,0.00018,1
jasmine,185,4,14.34888,0.00000,1
eric swalwell,193,4,14.32801,0.00004,1
government shutdown,173,4,14.23940,0.00005,1
primaries,262,4,14.23809,0.00001,1
sister,158,4,14.23424,0.00001,1
nick,619,7,14.15858,0.00022,1
jan,309,4,14.09021,0.00038,1
orban,168,4,14.02910,0.00004,1
hochul,108,3,13.75504,0.00005,1
money,822,5,13.61625,0.00057,1
kelly,737,6,13.61065,0.00094,1
somali,294,6,13.57101,0.00000,1
