phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
nicol s maduro,nicol,maduro,1,80,25,0.6431,False
peter mandelson,peter,mandelson,0,79,15,0.6172,False
powers resolution,powers,resolution,0,79,25,0.7227,False
explosions rock,explosions,rock,0,79,10,0.6339,False
hayden panettiere,hayden,panettiere,0,79,23,0.9796,True
dark past,dark,past,0,79,10,0.5596,False
nicolas maduro,nicolas,maduro,0,79,27,0.6157,False
task force,task,force,0,79,28,0.6411,False
lady melania,lady,melania,0,79,19,0.5688,False
tupac shakur,tupac,shakur,0,78,17,0.8878,False
peace prize,peace,prize,0,78,33,0.5059,False
joy reid,joy,reid,0,78,26,0.8575,False
sharia law,sharia,law,0,78,24,0.6213,False
democratic socialists,democratic,socialists,0,78,33,0.5603,False
economic d-day,economic,d-day,0,78,36,0.6023,False
extreme heat,extreme,heat,0,77,20,0.6446,False
chris cuomo,chris,cuomo,0,77,14,0.5521,False
jean carroll,jean,carroll,0,76,35,0.9547,True
second term,second,term,0,76,26,0.5283,False
grand prix,grand,prix,0,76,25,0.7871,False
colombia earthquake,colombia,earthquake,0,74,16,0.5349,False
sparks outrage,sparks,outrage,0,74,29,0.5076,False
mail-in voting,mail-in,voting,0,74,25,0.6213,False
matt walsh,matt,walsh,0,74,26,0.7616,False
howard lutnick,howard,lutnick,0,74,29,0.849,False
panic mode,panic,mode,0,73,42,0.5464,False
illegal immigrant,illegal,immigrant,0,73,26,0.5781,False
sri lanka,sri,lanka,0,73,10,0.955,True
laguardia airport,laguardia,airport,0,73,20,0.6203,False
john mearsheimer,john,mearsheimer,0,73,16,0.6484,False
byron donalds,byron,donalds,0,73,26,0.9482,True
immigration enforcement,immigration,enforcement,0,73,26,0.5049,False
satellite images,satellite,images,0,73,15,0.7586,False
jim acosta,jim,acosta,0,72,12,0.7811,False
shadow fleet,shadow,fleet,0,72,15,0.713,False
san francisco,san,francisco,0,71,29,0.8295,False
heat wave,heat,wave,0,71,28,0.569,False
jeff bezos,jeff,bezos,0,70,39,0.8261,False
kemi badenoch,kemi,badenoch,0,70,11,0.924,True
emmanuel macron,emmanuel,macron,0,69,10,0.6911,False
alex murdaugh,alex,murdaugh,0,69,17,0.6113,False
fans celebrate,fans,celebrate,0,69,11,0.5066,False
dave smith,dave,smith,0,69,26,0.5357,False
illegal immigrants,illegal,immigrants,0,69,26,0.5499,False
details emerge,details,emerge,0,68,26,0.5035,False
ron johnson,ron,johnson,0,68,17,0.5829,False
sanae takaichi,sanae,takaichi,0,68,11,0.8825,False
birth tourism,birth,tourism,0,68,23,0.7564,False
john cornyn,john,cornyn,0,68,23,0.5446,False
tina peters,tina,peters,0,68,10,0.9158,True
graham sister,graham,sister,0,68,34,0.5141,False
grand jury,grand,jury,0,67,23,0.5317,False
conspiracy theories,conspiracy,theories,0,67,41,0.7788,False
backfires spectacularly,backfires,spectacularly,0,67,10,0.6551,False
palm beach,palm,beach,0,67,19,0.7784,False
george floyd,george,floyd,0,67,33,0.8059,False
takes aim,takes,aim,0,66,26,0.5569,False
