feature,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,communality,F1_varimax,F2_varimax,F3_varimax,F4_varimax,F5_varimax,F6_varimax,F7_varimax,F8_varimax,F9_varimax,F10_varimax,F11_varimax,F12_varimax
pipe_p100,-0.0516,0.1554,0.1495,-0.0052,0.0375,0.3051,0.1021,0.227,-0.0037,0.0305,-0.0069,0.2248,0.2572,-0.2003,-0.0593,0.17,0.0138,0.1808,0.2648,0.0289,0.2403,0.0549,0.0085,0.1716,-0.1513
ellipsis_p100,-0.0634,0.052,-0.0177,0.731,-0.0799,0.005,-0.0074,0.039,-0.0217,0.1449,-0.1254,-0.1876,0.6219,0.3201,0.0956,-0.043,-0.0869,0.0152,-0.0232,0.6448,0.0048,0.1326,-0.0091,-0.1899,-0.1168
trailing_ellipsis_p100,-0.0233,0.0191,-0.0397,0.8432,-0.0505,-0.0142,0.0604,0.0088,-0.0731,-0.0246,-0.0909,-0.1469,0.7557,0.2973,0.0227,-0.062,-0.0596,0.0306,-0.0705,0.759,-0.0305,-0.0246,-0.0437,-0.2107,-0.0939
quotes_p100,-0.0031,-0.0263,-0.003,-0.0632,-0.017,0.011,0.0052,0.0059,0.0058,0.911,-0.0291,-0.0724,0.8413,-0.0604,0.0216,-0.0164,0.0004,0.0945,0.1391,-0.0223,0.0513,0.872,-0.0366,0.0525,0.0149
brackets_p100,0.1284,0.1577,-0.049,-0.0239,-0.0911,0.0738,-0.181,0.0709,-0.0166,-0.055,0.1268,0.0242,0.1158,0.1078,-0.0007,-0.0162,-0.028,0.0051,0.1241,-0.0265,0.1035,-0.0492,-0.0394,0.1318,0.1453
dash_p100,0.0278,0.0533,-0.0693,-0.0462,0.072,0.0763,-0.1772,0.2179,-0.0009,0.0952,0.0288,-0.0138,0.1105,0.0701,0.0243,-0.0614,0.0998,-0.0754,0.1157,-0.0557,0.233,0.0923,-0.0281,0.0894,0.0485
emoji_p100,-0.1815,0.094,0.0674,0.1261,-0.0151,0.0581,-0.0108,0.086,0.0315,-0.0033,0.0565,-0.2007,0.1178,0.0792,0.2444,0.0679,-0.0407,0.0449,0.0695,0.0645,0.0683,0.0083,0.0116,-0.1407,-0.0256
digit_p100,0.0559,0.0086,-0.0201,-0.0185,0.0189,-0.0056,0.0211,0.8278,0.0076,0.0916,0.0672,0.0111,0.7031,-0.1308,-0.1133,0.0241,-0.0088,0.0225,0.0335,-0.008,0.8268,0.11,0.0066,-0.0198,0.0246
dollar_p100,-0.0022,0.0557,-0.1148,-0.0389,-0.0157,-0.0193,-0.0161,0.1675,-0.0343,0.09,0.0732,0.0322,0.0624,-0.0319,0.0087,-0.1002,0.0058,0.0533,0.0211,-0.0232,0.1826,0.1018,-0.0435,0.0714,0.0458
comma_p100,-0.0129,0.0911,-0.0713,0.0204,-0.1193,0.1157,0.0042,0.2554,0.014,-0.0035,0.3724,0.2264,0.297,-0.2763,0.087,0.0116,-0.1003,0.1564,0.1915,0.0951,0.3201,0.0477,-0.0353,0.2279,0.1839
period_end_p100,0.1153,0.1632,-0.0173,0.0787,-0.108,-0.0261,-0.1579,-0.0183,-0.0601,0.0194,-0.0376,-0.0735,0.0949,0.261,-0.0312,-0.0232,-0.0441,0.0003,0.0082,0.0449,-0.0136,0.0069,-0.0539,0.0314,0.0477
year_mention_p100,0.0452,0.0061,0.0142,-0.0216,-0.0188,-0.0361,-0.0274,0.6597,-0.0481,-0.0942,0.0364,-0.0073,0.4529,-0.0631,-0.0988,0.0421,-0.0309,-0.0393,-0.0073,-0.0277,0.6504,-0.0723,-0.0354,-0.0409,0.0124
first_sg_p100,0.0481,0.1012,0.0228,0.069,0.0787,-0.0647,-0.1387,-0.0045,-0.0052,0.1157,-0.0822,-0.1294,0.0844,0.2757,0.0019,-0.0032,0.1072,-0.0246,-0.0485,0.0284,-0.0168,0.0902,-0.0097,-0.016,0.0152
first_pl_p100,-0.1238,-0.074,-0.0087,0.4873,-0.0113,-0.0088,0.0754,0.0007,-0.0624,0.141,0.0625,0.4733,0.5159,-0.2224,-0.0343,-0.0022,-0.0178,0.101,-0.0126,0.6035,0.0366,0.177,-0.0641,0.3177,-0.1146
second_person_p100,0.1298,0.0437,0.0293,-0.0073,0.1051,-0.1703,-0.2582,0.0605,-0.0137,0.3023,0.1571,0.0422,0.2481,0.1471,-0.0254,0.0371,0.1688,-0.035,-0.0471,0.0389,0.108,0.2857,-0.0691,0.2033,0.2365
contraction_p100,0.1143,0.1652,-0.1052,0.6395,0.0598,-0.0187,-0.251,-0.0609,-0.0211,0.1477,0.0519,0.1488,0.5781,0.3665,-0.0144,-0.1047,0.1365,0.0255,0.0018,0.6459,-0.0329,0.138,-0.0512,0.2533,0.0882
imperative_p100,-0.0023,-0.231,0.2558,0.5407,-0.0274,-0.003,0.0522,-0.043,0.0843,-0.0957,0.1365,0.1596,0.4768,-0.1429,-0.0008,0.2852,-0.0892,-0.0699,-0.0266,0.5846,-0.0287,-0.0835,0.0615,-0.0233,0.0449
q_word_start_p100,-0.0175,-0.0736,-0.0183,-0.0585,0.9566,0.014,0.0817,0.0209,-0.0109,-0.027,-0.0483,0.0375,0.9364,0.0552,-0.1803,-0.0817,0.8977,0.0185,-0.1049,-0.0583,-0.02,-0.0423,-0.0179,0.0755,-0.0026
wh_any_p100,-0.0053,0.0824,-0.039,0.022,0.8392,0.0621,-0.0662,0.0265,-0.0805,0.0065,0.0835,-0.039,0.737,0.1828,-0.0705,-0.0865,0.8372,0.0516,0.0164,-0.0021,0.0117,0.0029,-0.1114,0.1214,0.1102
intensifier_p100,-0.0097,0.3056,-0.0742,0.1446,0.1505,0.0001,-0.1647,-0.042,0.0026,0.019,-0.0363,-0.2105,0.2174,0.4439,0.1218,-0.1001,0.1973,0.0891,-0.0067,0.0585,-0.0655,0.0018,-0.009,-0.0037,0.0284
superlative_p100,0.0675,0.081,-0.0714,-0.0074,0.0924,-0.1136,-0.0058,0.0107,-0.0905,0.1625,0.0934,-0.1675,0.1093,0.1345,-0.0167,-0.0784,0.1293,0.0887,-0.0519,-0.0301,0.0171,0.1572,-0.0997,-0.0553,0.1496
shock_word_p100,-0.7455,0.0062,0.0762,0.0023,0.0408,-0.0531,-0.0717,-0.0183,0.1035,0.0519,0.137,0.0753,0.6094,-0.2078,0.7026,0.0541,-0.0357,0.0122,-0.0071,0.0289,-0.0254,0.1084,0.0313,0.1151,-0.2122
pos_eval_p100,0.276,-0.0022,-0.0774,-0.03,0.0091,-0.0392,-0.1233,-0.0611,0.0509,0.0861,0.3329,-0.1159,0.2379,0.0639,-0.0327,-0.018,0.0624,-0.0041,0.0572,-0.0205,-0.0057,0.0743,-0.0134,0.0129,0.42
neg_eval_p100,-0.2696,0.139,-0.1622,-0.0059,-0.0486,0.0199,-0.1683,-0.1004,0.0313,0.0089,0.1354,-0.2889,0.2624,0.1797,0.4547,-0.1651,-0.0275,-0.0213,0.081,-0.086,-0.1038,0.0225,-0.0238,-0.0913,0.061
negation_p100,0.1328,0.3312,-0.1226,0.0397,0.0193,-0.0559,-0.4036,-0.0225,-0.0299,0.1812,0.1032,0.171,0.3844,0.3512,0.02,-0.1144,0.1503,0.0487,0.0416,0.0741,0.0312,0.1717,-0.077,0.427,0.1694
violence_verb_p100,-0.6377,0.0835,-0.1137,0.045,-0.1217,0.0984,-0.0651,-0.0294,0.0393,-0.062,0.1595,-0.1788,0.5209,-0.0868,0.7184,-0.1185,-0.1617,0.0044,0.144,-0.015,-0.0418,-0.0047,-0.0204,-0.0799,-0.1396
hedge_p100,-0.0289,0.1756,-0.0544,-0.093,0.0141,0.0056,0.0676,0.1863,-0.0904,0.1353,0.0418,0.2058,0.1534,-0.1049,-0.0701,-0.0467,0.042,0.2144,0.0338,-0.0364,0.2068,0.1595,-0.0774,0.2203,-0.0423
discourse_marker_p100,-0.0108,-0.1702,-0.064,0.8151,-0.0029,-0.0275,0.0392,-0.0749,0.0562,-0.0761,0.0787,0.1373,0.7394,0.0428,0.0255,-0.0472,-0.0342,-0.0483,-0.0834,0.8266,-0.0745,-0.0659,0.042,-0.0115,0.0122
nominalisation_p100,0.0642,-0.0261,0.1447,-0.1159,-0.0389,0.0613,0.229,-0.0369,-0.248,0.0742,0.4248,0.0025,0.3457,-0.3895,-0.0709,0.1915,-0.0182,0.2342,0.1873,-0.0594,0.0296,0.1279,-0.2615,-0.0224,0.2831
n_person_p100,0.0824,0.0271,-0.0435,0.0094,0.0317,0.9709,-0.0515,-0.0514,0.0574,0.04,0.0308,-0.0022,0.9642,-0.2376,0.0395,0.0084,0.0263,-0.0909,0.8989,-0.0514,-0.0017,0.0432,0.0172,0.0438,-0.0668
n_org_p100,-0.1642,-0.0043,0.0995,0.0501,-0.1954,0.2012,0.0637,0.1869,-0.0852,-0.0235,0.4039,0.1631,0.3546,-0.4351,0.194,0.1713,-0.2023,0.1197,0.3028,0.1131,0.2538,0.0495,-0.131,0.1141,0.1222
n_gpe_p100,-0.1932,0.0409,0.0916,-0.0518,-0.0282,-0.0095,0.4153,0.0563,-0.1237,0.201,0.0655,0.3776,0.4291,-0.4814,-0.0863,0.097,-0.0697,0.3914,-0.0103,0.0735,0.0772,0.2524,-0.0838,0.1929,-0.175
has_person_p100,0.0829,-0.0078,-0.0141,-0.0275,0.0314,0.957,-0.042,-0.0672,0.0403,0.0232,-0.0095,-0.0183,0.9336,-0.2467,0.016,0.0288,0.0212,-0.1219,0.8805,-0.0916,-0.0236,0.0236,0.009,0.0117,-0.091
