term,n_titles,degree,strength,betweenness,community
star,157,1,2.35339,0.00000,8
crimes,219,1,2.32060,0.00000,8
powers,99,1,2.30291,0.00000,8
influencers,59,1,2.07741,0.00000,8
cult,68,1,1.88791,0.00000,8
forever,88,1,1.87946,0.00000,8
ending,82,1,1.80897,0.00000,8
started,73,1,1.77769,0.00000,8
end,628,1,1.71510,0.00000,8
resolution,39,1,1.70815,0.00000,8
machine,74,1,1.68823,0.00000,8
cost,267,1,1.57565,0.00000,8
choice,55,1,1.55316,0.00000,8
enters,94,1,1.52614,0.00000,8
start,113,1,1.49276,0.00000,8
starts,81,1,1.35997,0.00000,8
crime,200,1,1.30791,0.00000,8
carlson,237,1,1.30762,0.00000,8
supporters,215,1,1.26165,0.00000,8
tucker carlson,232,1,1.20355,0.00000,8
expands,72,1,1.18682,0.00000,8
tucker,404,1,1.17457,0.00000,8
hypocrisy,77,1,1.11708,0.00000,8
join,141,1,1.08337,0.00000,8
red,478,9,32.26507,0.00790,9
state,777,8,24.79932,0.00581,9
houthis,160,5,15.49367,0.00945,9
american,894,5,11.99710,0.00624,9
states,281,3,11.92052,0.00301,9
history,376,4,11.47699,0.00332,9
trump,36228,9,10.14389,0.01758,9
saudi,380,4,10.10704,0.00270,9
sea,218,4,9.54072,0.00424,9
fair,129,3,9.48119,0.00074,9
great,131,3,8.46581,0.00074,9
yemen,128,3,8.13536,0.00106,9
deep,151,2,7.78680,0.00000,9
gulf,448,3,7.30627,0.00478,9
worst,365,2,7.06227,0.00031,9
uae,237,3,6.81698,0.00066,9
nightmare,415,2,5.20202,0.00174,9
blue,121,1,4.62060,0.00000,9
rubio,428,2,4.52997,0.00382,9
union address,33,2,4.41438,0.00153,9
flags,84,1,4.40185,0.00000,9
card,55,1,4.27237,0.00000,9
red sea,79,1,3.96429,0.00000,9
alert,264,1,3.63113,0.00000,9
biggest,399,1,3.32317,0.00000,9
union,175,1,3.01976,0.00000,9
donald,899,2,2.86939,0.00082,9
address,190,1,2.83627,0.00000,9
scare,89,1,2.51791,0.00000,9
president,802,1,1.84694,0.00000,9
meme,24,1,1.39311,0.00000,9
abc,23,1,1.15832,0.00000,9
ontario,36,1,1.07555,0.00000,9
lake ontario,34,1,1.05677,0.00000,9
course,36,1,1.00281,0.00000,9
hormuz,1461,20,44.70426,0.03278,10
breaking,2680,19,29.28570,0.06634,10
strait,741,10,25.88055,0.00319,10
strait of hormuz,590,8,21.76335,0.00266,10
control,635,8,21.00383,0.00720,10
navy,348,8,18.19866,0.00507,10
ship,306,7,16.09739,0.01071,10
iranian,779,9,14.94597,0.01512,10
uss,168,4,13.24035,0.00465,10
open,295,4,13.00759,0.00250,10
ships,198,4,11.50761,0.00004,10
blockade,334,5,11.31856,0.00066,10
closed,66,3,11.08450,0.00004,10
reopen,39,3,10.80301,0.00004,10
lincoln,175,3,10.30355,0.00226,10
hantavirus,83,3,10.05084,0.00328,10
sailors,82,3,9.96785,0.00085,10
uss abraham,33,2,9.73973,0.00000,10
abraham lincoln,39,2,9.72601,0.00078,10
loses,901,3,9.18248,0.00244,10
lost,395,3,7.26934,0.00284,10
mind,160,2,7.23882,0.00010,10
near,390,3,5.11319,0.00002,10
spirals,206,2,4.92729,0.00073,10
blown,120,1,4.65334,0.00000,10
oman,87,2,4.42495,0.00144,10
losing,362,2,4.31087,0.00073,10
cruise,71,1,3.45959,0.00000,10
cruise ship,35,1,3.40620,0.00000,10
uss lincoln,106,1,3.24767,0.00000,10
vessels,49,1,3.06508,0.00000,10
shipping,54,1,2.64297,0.00000,10
point,224,1,2.62234,0.00000,10
warships,138,1,2.05834,0.00000,10
house,1740,20,43.02941,0.02951,11
white house,1019,13,36.81265,0.00409,11
white,1256,13,35.38955,0.00409,11
dinner,141,6,20.88048,0.00266,11
press,455,6,20.15025,0.00383,11
hegseth,1214,10,19.48998,0.03678,11
military,1430,10,17.68147,0.01220,11
house correspondents,45,4,16.49296,0.00000,11
correspondents dinner,70,4,15.43222,0.00012,11
briefing,242,5,15.39003,0.00270,11
ufc,168,5,14.58050,0.00086,11
pentagon,461,5,13.21951,0.00123,11
event,256,4,11.82393,0.00004,11
karoline,288,4,11.28641,0.00039,11
kelly,214,3,10.44411,0.00349,11
leavitt,349,4,9.72269,0.00039,11
secretary,288,3,9.39463,0.00121,11
ballroom,283,4,7.80737,0.00876,11
correspondents,74,2,7.46492,0.00000,11
action,354,3,6.73279,0.00131,11
mark,302,2,5.50664,0.00112,11
pete,373,2,4.52449,0.00000,11
wh,282,1,4.17445,0.00000,11
panics,1083,3,3.94297,0.00004,11
sec,73,1,3.92157,0.00000,11
sen,442,1,3.89829,0.00000,11
karoline leavitt,229,1,3.89483,0.00000,11
speaker,75,1,3.78600,0.00000,11
palestine,145,1,3.60772,0.00000,11
experts,132,1,3.05934,0.00000,11
fight,627,1,2.97585,0.00000,11
johnson,378,1,2.06161,0.00000,11
pete hegseth,308,1,1.55070,0.00000,11
judge,701,12,24.36902,0.02659,12
warning,834,8,23.18050,0.01526,12
ai,761,9,22.65196,0.01445,12
fed,291,5,22.36583,0.00492,12
issues,343,3,11.22283,0.00432,12
spacex,56,3,11.07541,0.00328,12
big,1510,4,9.34750,0.00447,12
order,344,4,8.97105,0.03079,12
musk,386,3,7.16830,0.01347,12
federal,366,3,6.87511,0.00396,12
kevin warsh,33,1,5.51280,0.00000,12
warsh,36,1,5.25071,0.00000,12
kevin,85,1,5.19162,0.00000,12
tech,194,2,4.94868,0.00156,12
blocks,169,2,4.75195,0.00044,12
data,331,2,4.42521,0.00140,12
dire,76,1,4.40733,0.00000,12
orders,286,2,4.34070,0.00311,12
stark,31,1,4.24789,0.00000,12
ultimatum,158,1,4.17659,0.00000,12
powell,82,1,4.07481,0.00000,12
elon musk,295,1,3.69372,0.00000,12
elon,391,1,3.61946,0.00000,12
anthropic,48,1,3.59107,0.00000,12
urgent,100,1,3.47045,0.00000,12
trouble,182,1,2.94907,0.00000,12
judges,130,1,2.94891,0.00000,12
