genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_js,nn2_js,nn3_js,nn4_js,nn5_js
videos,political,@theisabelbrown,right,@MichaelKnowles,@MattWalsh,@bbrettcooper,@turningpointusa,@AfterPartyEmily,right,right,right,right,right,0.596,0.636,0.636,0.643,0.65
videos,political,@thejimmydoreshow,neutral,@TheYoungTurks,@DueDissidence,@KimIversen,@SabbySabs,@breakingpoints,left,left,neutral,left,left,0.397,0.412,0.43,0.441,0.465
videos,political,@therationalnational,left,@TheMajorityReport,@HasanReactionsfanTwo,@SecularTalk,@podsaveamerica,@HasanAbi,left,left,left,left,left,0.641,0.664,0.664,0.669,0.672
videos,political,@thewarningwithsteveschmidt,left,@thedavidpakmanshow,@FarronBalanced,@adammockler,@harryjsisson,@TheMichaelCohenShow,left,left,left,left,left,0.523,0.563,0.589,0.598,0.601
videos,political,@thomhartmann,left,@msnow,@CNN,@RealAmericasVoice,@TheMajorityReport,@TheMichaelCohenShow,left,left,right,left,left,0.441,0.496,0.519,0.522,0.525
videos,political,@timesofindia,left,@TimesNowWorld,@AssociatedPress,@aljazeeraenglish,@BBCNews,@nypost,neutral,neutral,left,neutral,right,0.389,0.449,0.456,0.471,0.478
videos,political,@triggerpod,right,@60minutes,@winston_marshall,@ThePodcastoftheLotusEaters,@PragerU,@AndrewKlavan,neutral,right,right,right,right,0.663,0.667,0.689,0.692,0.697
videos,political,@turningpointusa,right,@theisabelbrown,@ChadPrather1,@PragerU,@jlptalk,@MichaelKnowles,right,right,right,right,right,0.643,0.7,0.713,0.716,0.72
videos,political,@underthedesknews,left,@franifio,@NYTPodcasts,@JillianMichaels,@RealAmericasVoice,@MegynKelly,left,left,right,right,right,0.703,0.708,0.72,0.723,0.726
videos,political,@usefulidiots,left,@TheYoungTurks,@DueDissidence,@thegrayzone7996,@breakingpoints,@DropSiteNews,left,left,left,left,left,0.57,0.578,0.583,0.588,0.59
videos,political,@wethefifth,neutral,@samharrisorg,@DueDissidence,@EzraKleinShow,@breakingpoints,@NewsmaxTV,left,left,left,left,right,0.635,0.647,0.668,0.67,0.67
videos,political,@winston_marshall,right,@ThePodcastoftheLotusEaters,@ZubyMusic,@PragerU,@AndrewKlavan,@triggerpod,right,right,right,right,right,0.584,0.652,0.655,0.662,0.667
videos,political,@wsj,neutral,@Reuters,@ZeihanonGeopolitics,@markets,@BBCNews,@TheEconomist,neutral,neutral,neutral,neutral,left,0.604,0.62,0.642,0.643,0.643
videos,political,@zeteo,left,@TheYoungTurks,@TheMajorityReport,@DemocracyNow,@DueDissidence,@KimIversen,left,left,left,left,neutral,0.577,0.601,0.601,0.602,0.612
videos,political,https://rumble.com/c/BannonsWarRoom,right,@oann,@RealAmericasVoice,@NewsmaxTV,@FoxNewsChannelClips,@CBSNews,right,right,right,right,neutral,0.458,0.461,0.471,0.489,0.534
videos,political,https://rumble.com/c/GGreenwald,left,@TheYoungTurks,@DueDissidence,@OwenJonesTalks,@thejimmydoreshow,@usefulidiots,left,left,left,neutral,left,0.607,0.615,0.628,0.63,0.64
videos,political,https://rumble.com/c/TheAlexJonesShowLive,right,@fightbackpodcast,@RedactedNews,@thejimmydoreshow,@KimIversen,@OwenReport,right,right,neutral,neutral,left,0.52,0.569,0.592,0.593,0.612
videos,political,https://rumble.com/c/nickjfuentes,right,@TheYoungTurks,@DueDissidence,@KimIversen,@FoxNews,@SabbySabs,left,left,neutral,right,left,0.546,0.554,0.569,0.569,0.57
videos,political,https://rumble.com/c/russellbrand,right,@AsmonTV,@TimcastIRL,@ThePodcastoftheLotusEaters,@TimcastNews,@RealDanBongino,right,right,right,right,right,0.547,0.573,0.581,0.586,0.593
streams,all,@ABCNews,neutral,@RSBN,@FoxNews,@msnow,@USATODAY,@thehill,right,right,left,neutral,neutral,0.593,0.617,0.635,0.638,0.644
streams,all,@ANINewsIndia,neutral,@Firstpost,@Reuters,@AssociatedPress,@TimesNowWorld,@timesofindia,neutral,neutral,neutral,neutral,left,0.578,0.705,0.712,0.713,0.758
streams,all,@AfterPartyEmily,right,@chicksonright,@underthedesknews,@DueDissidence,@Xanderhal,@RealAmericasVoice,right,left,left,left,right,0.751,0.769,0.78,0.781,0.797
streams,all,@AssociatedPress,neutral,@Reuters,@USATODAY,@TimesNowWorld,@FoxNews,@Firstpost,neutral,neutral,neutral,right,neutral,0.321,0.467,0.52,0.545,0.553
streams,all,@BreakThroughNews,left,@JamarlThomas,@timesofindia,@TheMajorityReport,@NickCruseRBN,@RedactedNews,left,left,left,left,right,0.723,0.724,0.727,0.73,0.736
streams,all,@CBSNews,neutral,@FoxNews,@USATODAY,@msnow,@thehill,@NewsNation,right,neutral,left,neutral,neutral,0.425,0.452,0.522,0.529,0.54
streams,all,@CNN,left,@thehill,@FoxNews,@USATODAY,@msnow,@CBSNews,neutral,right,neutral,left,neutral,0.604,0.621,0.627,0.638,0.643
streams,all,@CamHigby,right,@StatusCoup,@TheMajorityReport,@MLChristiansen,@BreakThroughNews,@MeidasTouch,left,left,right,left,left,0.673,0.76,0.762,0.809,0.833
streams,all,@ChadPrather1,right,@jlptalk,@ModernDayDebate,@underthedesknews,@TheJoyReidShow,@rolandsmartin,right,left,left,left,left,0.69,0.729,0.812,0.853,0.856
