term,n_titles,acf_lag1_residual,mean_channels_per_day
tariff,712,0.4393,1.9144
hasanabi,710,0.0375,1.4086
jack,710,0.1606,2.0817
policy,707,-0.0284,2.4786
begins,703,0.1495,2.3969
budget,702,0.2165,1.5837
pete hegseth,702,0.2489,2.2802
bases,700,0.1466,1.8716
hezbollah,700,0.5041,1.9728
michigan,700,0.2785,1.8054
fund,698,0.3715,2.0272
tax,697,0.2032,2.4319
todd,696,0.3151,1.9883
defends,695,0.0381,2.4397
look,690,-0.0011,2.5331
point,690,-0.0078,2.4397
stocks,690,0.0009,1.3852
bombs,687,0.1814,2.0778
orders,687,0.1660,2.4358
think,687,0.0073,2.5875
release,686,0.3228,2.3619
destroys,685,0.0472,2.5370
kristi,684,0.4956,2.0428
plane,684,0.3754,2.0195
moscow,683,0.1163,1.7860
hosts,682,0.1170,2.3074
declares,681,0.0766,2.3113
fuel,680,0.0799,2.1673
parliament,680,0.1773,1.5292
rights,680,0.1514,2.3385
jr,679,0.2344,2.2685
lawsuit,679,0.1938,2.3891
exclusive,678,0.1555,2.3502
destroyed,677,0.1184,2.4864
pam,677,0.5248,1.9533
close,676,-0.1015,2.3463
continue,676,0.1894,2.4202
crackdown,676,0.2798,2.3152
hell,676,0.0875,2.3463
kristi noem,675,0.5013,2.0156
voting,675,0.1095,2.2374
crashes,674,-0.0053,2.3541
candidate,672,0.1164,2.3969
north,672,0.1464,2.2101
happened,670,-0.0123,2.5058
impact,670,0.1170,1.9767
prime minister,670,0.1322,1.9961
reveal,669,0.1071,2.1984
total,669,-0.0195,2.3696
davos,668,0.7518,0.8016
pam bondi,668,0.5358,1.9222
great,666,0.1216,2.2957
row,665,0.1786,1.5564
walz,665,0.4660,1.8482
marco,664,0.3504,1.8560
crime,661,0.0336,2.3658
group,661,0.0455,2.0233
shares,661,-0.0871,2.1790
ukrainian,660,0.1780,1.9183
charges,658,0.2738,2.3191
trying,657,-0.0555,2.4786
outside,656,0.1783,2.1051
markets,655,0.0097,1.9339
accused,654,0.1024,2.2412
agenda,654,0.0929,2.1790
dc,654,0.1895,2.2179
losing,654,-0.0471,2.4514
moon,652,0.4900,1.6265
kids,651,-0.0487,2.3891
wife,651,0.1857,2.1946
clinton,650,0.3223,1.5214
target,650,0.0651,2.2724
brics,648,0.0891,0.5253
responds,648,0.1011,2.3113
ally,646,0.0460,1.6031
ag,645,0.2423,2.0545
alert,645,0.0648,2.1401
ben,644,-0.0613,2.3541
fake,644,-0.0079,2.3969
marco rubio,644,0.3245,1.7821
worst,644,0.0695,2.4436
hours,643,0.1245,2.3463
problem,642,0.0053,2.4008
earthquake,640,0.4399,1.3696
ban,639,0.1111,2.2101
second,639,-0.0251,2.1907
fears,638,0.1055,2.2374
leak,638,0.1489,1.6342
sanctions,638,0.2812,1.9728
todd blanche,638,0.3318,1.7860
korea,637,0.2069,1.9494
david,634,0.0564,2.1907
use,634,0.0220,2.2023
voter,634,0.1380,2.1868
leave,633,-0.0163,2.2802
aoc,631,0.4585,2.2101
kash,631,0.4658,2.0623
island,628,0.2786,2.0156
criminal,627,-0.0287,2.2451
zohran,627,0.2992,2.1868
job,626,0.0666,2.2412
concerns,625,-0.0931,2.2062
opening,625,0.1401,2.1362
katie,623,0.0376,1.3113
line,623,-0.0434,2.1829
don,622,0.2465,1.8638
actually,621,-0.0800,2.3580
students,620,0.0926,1.6887
guilty,617,0.2840,1.9689
pushes,617,0.0622,2.2179
weapons,617,0.0904,2.0584
director,616,0.0494,2.1440
social media,615,0.0425,2.0233
crew,614,0.3823,1.6070
nick,612,0.2407,2.1634
omar,612,0.3243,1.9572
pool,612,0.3758,2.0039
invasion,611,0.3298,1.9922
nightmare,611,0.0300,2.2685
said,611,-0.0771,2.2490
rising,610,0.1593,2.0895
carney,609,0.3639,1.6654
ships,609,0.2441,1.8560
negotiations,607,0.2833,2.0467
inflation,604,0.1649,1.9066
gold,603,0.1459,1.9183
student,602,0.1257,1.8599
robinson,601,0.3915,1.7665
room,601,0.0663,1.8249
scheme,601,0.1103,2.1401
taiwan,600,0.3092,1.6654
unleashes,599,0.1385,1.7821
blow,595,0.0323,2.1245
owens,595,0.1943,2.1284
jet,593,0.2317,1.7977
risk,593,-0.0537,2.1167
winter,593,0.3341,1.4008
karoline,592,0.2901,1.8755
cuomo,591,0.0617,0.9961
space,589,0.2379,1.9183
work,588,-0.0189,2.1712
bessent,586,0.2743,1.6459
assassination,585,0.3187,1.8911
humiliated,585,-0.0709,2.2023
minutes,585,0.1166,1.8988
released,584,0.2044,2.0623
bid,583,0.1161,1.9844
kash patel,583,0.4144,1.8988
polls,583,0.0995,1.7588
spacex,583,0.2549,1.4280
bank,582,0.1978,1.8949
beijing,581,0.2951,1.3658
apart,580,-0.0329,2.1401
citizenship,580,0.4813,1.5837
making,580,0.0214,2.1946
keir,579,0.3834,1.7004
falls,578,-0.0027,2.0661
escalates,577,0.1186,1.9222
food,577,0.1085,2.0623
millions,577,0.1278,2.1167
anthony,576,0.5965,1.6965
react,576,0.0402,1.9339
prison,574,0.0675,2.1089
speak,574,0.0343,2.0584
jobs,573,0.2419,1.7821
officer,573,0.2986,1.9261
mother,571,0.1458,1.8716
furious,570,0.0160,2.0817
joins,570,0.0863,1.9961
tv,570,-0.0253,2.1595
burnham,569,0.3919,1.3035
la,567,0.1299,1.9883
allegations,566,0.1585,1.9339
outbreak,566,0.4093,1.7626
running,566,0.0349,2.1245
el-sayed,565,0.4125,1.5837
racist,565,0.3479,1.9689
lawmakers,564,0.1740,1.8911
stephen,564,0.2279,2.0039
street,564,0.0058,1.9261
candace owens,562,0.2010,2.0156
keir starmer,562,0.4057,1.6537
lawyer,561,0.1951,2.0039
workers,561,0.1627,1.9339
business,559,0.0379,1.8949
gov,559,0.0443,1.9066
cost,558,0.0274,2.0039
stage,558,0.1066,2.0272
isn't,555,0.1194,2.0856
best,553,0.0481,1.9650
charles,553,0.3343,1.1128
confirms,553,0.0522,1.8677
signs,553,0.0001,1.8638
testifies,553,0.3063,1.7276
believe,552,0.0291,2.0739
dark,552,0.0366,2.0623
happening,552,0.0325,1.8949
decision,550,0.1425,1.9377
floods,550,0.2873,1.2412
silence,550,-0.0437,1.9377
unveils,550,-0.0090,1.8482
families,549,0.0521,1.8833
fury,549,0.1862,1.6576
march,549,0.0738,1.6148
i'm,548,0.0035,2.0428
leo,548,0.2724,1.5136
fighting,547,0.0096,2.0233
leaked,547,0.2195,1.9883
loss,547,0.0644,1.9844
tyler,547,0.4324,1.6381
possible,545,0.0520,1.9689
fatal,544,0.1687,1.7354
funeral,544,0.3710,1.2802
board,543,0.2409,1.5136
injured,543,0.1603,1.7626
rfk,542,0.2112,1.8249
star,542,0.1408,1.9844
urges,542,0.0791,1.8949
fresh,540,0.0729,1.5370
liberal,540,-0.1476,1.8833
taking,540,-0.0799,1.9650
carlson,539,0.3475,1.9300
lemon,538,0.3679,1.5564
releases,538,0.2222,1.8249
tom,538,0.1137,1.7393
break,537,0.0109,2.0195
miller,537,0.2836,1.9144
water,536,0.0920,1.8132
flood,535,0.3244,1.3774
capture,534,0.1522,1.1712
opens,534,0.0473,1.8482
come,533,0.0373,1.9922
year-old,533,0.0925,1.8755
care,532,0.0364,1.9066
rules,532,0.0046,1.8599
using,532,-0.0192,1.9961
alarm,531,0.0136,1.9261
british,531,-0.0189,1.8482
joint,531,0.0751,1.5058
air force,530,0.2015,1.7198
revenge,530,0.1623,1.5370
reaction,529,0.0540,1.7938
hard,528,0.0166,1.9066
aircraft,527,0.1105,1.5097
cuts,527,0.1193,1.8638
following,526,0.0739,1.8327
trending,526,0.2302,0.5136
chilling,525,0.0229,1.6576
fall,525,0.0614,1.9300
tucker carlson,525,0.3290,1.8833
wall,525,-0.0971,1.8016
cabinet,524,0.2137,1.5720
son,524,0.2038,1.8911
govt,522,-0.0053,1.2412
ufc,522,0.5732,1.4903
virginia,522,0.3605,1.6109
karoline leavitt,521,0.2734,1.6537
needs,521,-0.0860,1.9300
testimony,521,0.0993,1.6887
arabia,518,0.2970,1.4630
drug,518,0.1526,1.8093
pope leo,518,0.2690,1.4280
prince,518,0.3686,1.4669
escalation,517,0.2509,1.7782
lose,517,-0.1037,1.9572
pretti,517,0.6574,1.1634
drop,516,-0.0018,1.8638
jury,516,0.2746,1.5525
test,516,0.1187,1.8210
chair,515,0.3133,1.6226
shah,515,0.0640,0.8560
saudi arabia,514,0.2889,1.4514
night,513,0.2328,1.8444
victims,512,0.0864,1.7315
supreme leader,511,0.4792,1.2957
