row_id,video_id,creator,genre,topic_id,topic_sim,weak_assignment,political
201,lIsV9SR-ilw,@AsmonTV,videos,31,0.394433,True,True
202,3V5Ol4fAYTY,@AsmonTV,videos,1,0.4442269,True,True
203,cqSdqrT1vSI,@AsmonTV,videos,70,0.5811068,False,True
204,nT6HsXqxqvs,@AsmonTV,videos,1,0.3880053,True,True
205,DROsC9gyXUs,@AsmonTV,videos,114,0.40023473,True,True
206,Ag42tOF_xO0,@AsmonTV,videos,1,0.4572594,False,True
207,XMKV8YQpGzk,@AsmonTV,videos,85,0.39006355,True,True
208,0eCqxrgc64o,@AsmonTV,videos,1,0.5758279,False,True
209,y-J5o3asog0,@AsmonTV,videos,125,0.58694524,False,False
210,HEFefI3zpN4,@AsmonTV,videos,1,0.33520553,True,True
211,Z348_CcT_YI,@AsmonTV,videos,223,0.45959032,False,False
212,MJAffLH0sqE,@AsmonTV,videos,1,0.51034266,False,True
213,pOX3aI3BAnI,@AsmonTV,videos,1,0.42234963,True,True
214,CZFq39UMUqk,@AsmonTV,videos,42,0.4971285,False,True
215,H0y2tNUhuS4,@AsmonTV,videos,126,0.39857402,True,True
216,dIogWF9C_4Q,@AsmonTV,videos,1,0.43271238,True,True
217,YtqZmt1d8NE,@AsmonTV,videos,72,0.48711586,False,True
218,hfiR3FziGJM,@AsmonTV,videos,227,0.31499028,True,True
219,Po-uDVGawfI,@AsmonTV,videos,11,0.5289271,False,True
220,whKlHIaWM5k,@AsmonTV,videos,1,0.41640234,True,True
221,yVm8vDoMzYs,@AsmonTV,videos,116,0.3018194,True,True
222,RDpU8eWtI8k,@AsmonTV,videos,125,0.5044162,False,False
223,48D2mzLoIKg,@AsmonTV,videos,116,0.5737077,False,True
224,Lv_vQtvsVEY,@AsmonTV,videos,1,0.5594605,False,True
225,syGvjkPCd3A,@AsmonTV,videos,1,0.45199,False,True
226,IZKw7CgtunA,@AsmonTV,videos,125,0.41865918,True,False
227,iT1xrTanxjg,@AsmonTV,videos,95,0.37790695,True,False
228,VFLSNxCLwCw,@AsmonTV,videos,1,0.37543103,True,True
229,qqpz2v87w-Q,@AsmonTV,videos,17,0.62510806,False,True
230,x4Go7estHgU,@AsmonTV,videos,1,0.39136383,True,True
231,xi4NyPS5IhM,@AsmonTV,videos,1,0.40168816,True,True
232,4He4izDhz24,@AsmonTV,videos,216,0.45588264,False,True
233,ZmZYMhmpH8Y,@AsmonTV,videos,56,0.54130894,False,False
234,33cb-p3m1DM,@AsmonTV,videos,65,0.6492045,False,True
235,tv8Wy5k4uVY,@AsmonTV,videos,1,0.44418928,True,True
236,Jc_CaQroSFo,@AsmonTV,videos,131,0.46772826,False,True
237,XnwUX1deRT4,@AsmonTV,videos,209,0.39586964,True,True
238,K2OAhWe-lb0,@AsmonTV,videos,125,0.43816552,True,False
239,9Dwv6HwWVxI,@AsmonTV,videos,5,0.46143803,False,True
240,JcVwbSlGzh4,@AsmonTV,videos,1,0.43828407,True,True
241,9ASsr6jUa_I,@AsmonTV,videos,1,0.3339647,True,True
242,CdKLw1UToek,@AsmonTV,videos,13,0.50506353,False,True
243,V6LWV9d3Vzg,@AsmonTV,videos,1,0.37835392,True,True
244,OKYtyA8MC-U,@AsmonTV,videos,1,0.4643642,False,True
245,90VmJM0V3AQ,@AsmonTV,videos,1,0.38107672,True,True
246,M9ez-tBzU9k,@AsmonTV,videos,11,0.5809926,False,True
247,qgm2zTowdr4,@AsmonTV,videos,7,0.65922695,False,True
248,Z_72gvpQCDc,@AsmonTV,videos,34,0.31187895,True,True
249,Fy5cHLu3FZk,@AsmonTV,videos,1,0.5594605,False,True
250,Cqi1Flm-_Jg,@AsmonTV,videos,98,0.4001832,True,False
251,Prru1E-16wE,@AsmonTV,videos,1,0.42398763,True,True
252,JdZN6Kq8NE4,@AsmonTV,videos,1,0.5172868,False,True
253,faSHiSeQUZU,@AsmonTV,videos,1,0.5190363,False,True
254,AkidB7efOE4,@AsmonTV,videos,98,0.28220853,True,False
255,N6aUYPesSn0,@AsmonTV,videos,1,0.43945774,True,True
256,2jlbnlknG8E,@AsmonTV,videos,125,0.44203436,True,False
257,Y1L6xtPnly4,@AsmonTV,videos,48,0.74257845,False,True
258,N5cMfd9VsSM,@AsmonTV,videos,1,0.5124511,False,True
259,okLsBxS9aVM,@AsmonTV,videos,1,0.47425592,False,True
260,r6rdCmS9cTw,@AsmonTV,videos,98,0.24434464,True,False
261,dSKsgUu7qQw,@AsmonTV,videos,11,0.4126468,True,True
262,XXofnWnMOU0,@AsmonTV,videos,187,0.35216266,True,True
263,X5OeUqNwpSU,@AsmonTV,videos,1,0.46872202,False,True
264,DcxhshWwM9Y,@AsmonTV,videos,220,0.5073318,False,True
265,jxzqHzH3VDc,@AsmonTV,videos,1,0.4661352,False,True
266,_gqW0VQhzxY,@AsmonTV,videos,1,0.32587895,True,True
267,q5Lv-alijp0,@AsmonTV,videos,217,0.41496092,True,True
268,byuqYILFyzQ,@AsmonTV,videos,1,0.37442005,True,True
269,Wc5_B-OQM_M,@AsmonTV,videos,98,0.302572,True,False
270,6GhHkQ0RuIo,@AsmonTV,videos,52,0.5811624,False,True
271,Q6xOU_EObus,@AsmonTV,videos,131,0.55635476,False,True
272,VFLG3awPMHs,@AsmonTV,videos,4,0.5174536,False,True
273,WQyMujc7Vik,@AsmonTV,videos,1,0.39863622,True,True
274,oXRsLBx1NRM,@AsmonTV,videos,1,0.31596413,True,True
275,oeDBbiPPfbc,@AsmonTV,videos,1,0.38952565,True,True
276,Xt8Ws-xCf4Y,@AsmonTV,videos,1,0.45580566,False,True
277,xlROg0jKKHE,@AsmonTV,videos,1,0.42180052,True,True
278,LgGM5p1ERGk,@AsmonTV,videos,125,0.5871428,False,False
