creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@AnthonyBrianLogan,youtube,streams,48,48,48,48,2026-01,2026-06,0,0.0,True,Anthony Brian Logan,1080000.0,True
@AnthonyBrianLogan,youtube,videos,233,233,233,233,2026-01,2026-09,0,0.0,False,Anthony Brian Logan,1080000.0,True
@AsmonTV,youtube,videos,888,825,825,888,2026-01,2026-09,0,0.0709,False,Asmongold TV  ,4690000.0,True
@AssociatedPress,youtube,streams,1267,1098,1098,1267,2026-01,2026-09,0,0.1334,False,Associated Press,4650000.0,True
@AssociatedPress,youtube,videos,5263,5262,2500,5256,2026-01,2026-09,0,0.0002,False,Associated Press,4650000.0,True
@BBCNews,youtube,videos,2356,2352,2352,2206,2026-01,2026-09,0,0.0017,False,BBC News,20100000.0,True
@BadEmpanadaLive,youtube,streams,1,1,1,1,2026-04,2026-04,0,0.0,True,BadEmpanada Live,100000.0,True
@BadEmpanadaLive,youtube,videos,274,274,274,273,2026-01,2026-09,0,0.0,False,BadEmpanada Live,100000.0,True
@BadFaithPodcast,youtube,streams,1,1,1,1,2026-08,2026-08,0,0.0,True,Bad Faith,187000.0,
@BadFaithPodcast,youtube,videos,77,77,77,77,2026-01,2026-09,0,0.0,False,Bad Faith,187000.0,
@BelleRanch,youtube,videos,770,770,770,770,2026-01,2026-09,0,0.0,False,Belle of the Ranch,877000.0,
@BenShapiro,youtube,streams,16,16,16,16,2026-01,2026-09,0,0.0,True,Ben Shapiro,6980000.0,True
@BenShapiro,youtube,videos,506,506,506,506,2026-01,2026-09,0,0.0,False,Ben Shapiro,6980000.0,True
@BlackConservativePerspective,youtube,streams,1,1,1,1,2026-02,2026-02,0,0.0,True,Black Conservative Perspective,1000000.0,True
@BlackConservativePerspective,youtube,videos,1192,1192,1192,1192,2026-01,2026-09,0,0.0,False,Black Conservative Perspective,1000000.0,True
@BlaireWhiteX,youtube,videos,10,10,10,10,2026-01,2026-09,0,0.0,True,Blaire White,1540000.0,True
@BlazeTV,youtube,streams,14,14,14,14,2026-02,2026-09,0,0.0,True,BlazeTV,2230000.0,True
@BlazeTV,youtube,videos,829,829,829,829,2026-01,2026-09,0,0.0,False,BlazeTV,2230000.0,True
@BreakThroughNews,youtube,streams,56,56,56,56,2026-01,2026-09,0,0.0,False,BreakThrough News,1080000.0,True
@BreakThroughNews,youtube,videos,234,234,234,234,2026-01,2026-09,0,0.0,False,BreakThrough News,1080000.0,True
@BrittanyVenti,youtube,streams,16,16,16,8,2026-01,2026-07,0,0.0,True,Brittany Venti,241000.0,True
@BrittanyVenti,youtube,videos,50,50,50,49,2026-01,2026-09,0,0.0,False,Brittany Venti,241000.0,True
@CBSNews,youtube,streams,347,346,346,347,2026-01,2026-09,0,0.0029,False,CBS News,7080000.0,True
@CBSNews,youtube,videos,7956,7956,2500,7956,2026-01,2026-09,0,0.0,False,CBS News,7080000.0,True
