term,n_titles,degree,strength,betweenness,community
voting rights,34,4,18.53854,0.00012,2
closing,288,6,18.45709,0.00000,2
zuckerberg,69,4,17.59950,0.00090,2
assassination,191,6,17.50933,0.00326,2
ballots,44,4,17.50848,0.00001,2
apple,232,4,17.34310,0.00009,2
pete,328,6,17.21905,0.00208,2
killer,128,4,17.15836,0.00007,2
victory,367,8,17.08020,0.00341,2
map,130,4,17.02076,0.00005,2
birthright,159,5,16.09500,0.00022,2
beach,177,3,16.03202,0.00054,2
chicago,113,4,16.01630,0.00006,2
marks,190,4,15.87747,0.00089,2
mistrial,87,6,15.18788,0.00000,2
rules,290,4,14.77346,0.00009,2
civil,127,4,14.68992,0.00075,2
mail,55,3,14.65874,0.00001,2
threats,462,7,14.47195,0.00247,2
pleads,203,4,14.42628,0.00007,2
bans,114,4,14.10164,0.00001,2
luigi mangione,151,4,13.37090,0.00002,2
justices,37,3,13.31409,0.00001,2
luigi,153,4,13.29879,0.00002,2
rev,40,3,13.29225,0.00001,2
civil rights,42,3,12.92374,0.00001,2
birthright citizenship,155,4,12.85917,0.00022,2
citizenship,192,4,12.71618,0.00022,2
verdict,110,5,12.52605,0.00002,2
anniversary,341,4,12.49960,0.00042,2
fifth,130,3,12.21629,0.00014,2
obama,185,3,12.11922,0.00012,2
presidential,209,3,11.25097,0.00019,2
covid,138,4,11.17996,0.00015,2
birthday,109,3,11.09431,0.00078,2
jurors,50,4,11.02201,0.00000,2
vd,110,2,10.00913,0.00054,2
dr,338,3,9.63985,0.00009,2
davis,89,3,9.60065,0.00001,2
athletes,99,2,9.51323,0.00000,2
india,4239,8,9.25354,0.00142,2
blocks,165,2,9.19351,0.00001,2
weighs,251,3,9.11280,0.00001,2
nominee,78,3,9.09542,0.00187,2
celebrations,220,4,8.90932,0.00031,2
amendment,77,2,8.78333,0.00000,2
st,304,3,8.67601,0.00021,2
celebrates,226,2,8.63280,0.00002,2
lawyer,138,4,8.28061,0.00044,2
celebration,151,3,8.26025,0.00016,2
patrick,77,2,8.07865,0.00000,2
congressional,145,2,8.07554,0.00000,2
hole,41,2,8.03011,0.00000,2
louisiana,102,2,8.02826,0.00000,2
pleads guilty,81,2,7.88487,0.00000,2
night,183,3,7.64155,0.00108,2
lake,123,3,7.55684,0.00089,2
redistricting,108,2,7.36470,0.00054,2
wife,293,3,7.34332,0.00003,2
july,198,2,7.15260,0.00054,2
imminent,73,3,7.03347,0.00012,2
nvidia,278,3,6.82547,0.00035,2
evidence,196,3,6.68643,0.00010,2
google,157,2,6.48655,0.00000,2
lake ontario,55,2,6.42554,0.00050,2
palm,68,1,6.41893,0.00000,2
rand,67,2,6.38858,0.00000,2
rand paul,67,2,6.38858,0.00000,2
spending,210,2,6.31073,0.00030,2
paul,183,2,6.26431,0.00000,2
request,101,2,6.26024,0.00001,2
teen,202,2,6.16588,0.00009,2
soldier,117,1,5.93604,0.00000,2
instagram,61,1,5.80316,0.00000,2
begin,187,2,5.78195,0.00037,2
singer,89,1,5.52975,0.00000,2
republic,157,2,5.29771,0.00003,2
truth,191,1,5.17820,0.00000,2
youtube,50,1,5.16233,0.00000,2
settlement,111,1,4.94042,0.00000,2
bomb,229,2,4.88959,0.00016,2
athlete,53,1,4.71529,0.00000,2
erika,124,3,4.67399,0.00000,2
appear,71,1,4.45621,0.00000,2
scotus,104,1,4.44771,0.00000,2
virginia,167,1,4.42991,0.00000,2
preliminary,43,1,4.39799,0.00000,2
fireworks,117,2,4.39252,0.00000,2
