genre,titles,creator,group,style_cluster,style_cluster_k_groups
videos,political,@RubinReport,right,1,0
videos,political,@RufoandLomez,right,1,0
videos,political,@SMN,left,1,0
videos,political,@SabbySabs,left,3,1
videos,political,@SaltyCracker,right,1,0
videos,political,@SecretScholars,right,1,0
videos,political,@SecularTalk,left,3,1
videos,political,@Semafor,neutral,1,0
videos,political,@SkyNews,left,0,0
videos,political,@StatusCoup,left,3,1
videos,political,@StevenCrowder,right,1,0
videos,political,@Styxhexenhammer666,right,1,0
videos,political,@TechCrunch,neutral,0,0
videos,political,@TheAdamCarollaShow1,right,1,0
videos,political,@TheAmalaEkpunobi,right,1,0
videos,political,@TheAtlantic,left,1,0
videos,political,@TheBrianKilmeadeShow,right,2,2
videos,political,@TheDailyBeast,left,1,0
videos,political,@TheDamageReport,left,1,0
videos,political,@TheDonLemonShow,left,1,0
videos,political,@TheEconomist,left,1,0
videos,political,@TheHumanistReport,left,1,0
videos,political,@TheJoyReidShow,left,1,0
videos,political,@TheLincolnProject,left,1,0
videos,political,@TheMajorityReport,left,1,0
videos,political,@TheMichaelCohenShow,left,1,0
videos,political,@TheOfficerTatum,right,3,1
videos,political,@ThePodcastoftheLotusEaters,right,1,0
videos,political,@TheQuartering,right,3,1
videos,political,@TheRealTabithaSpeaks,left,2,2
videos,political,@TheSerfTimes,left,1,0
videos,political,@TheVaushPit,left,1,0
videos,political,@TheYoungTurks,left,1,0
videos,political,@The_Crucible,right,3,1
videos,political,@TimDillonShow,neutral,1,0
videos,political,@Tim_Black,right,2,2
videos,political,@Timcast,right,3,1
videos,political,@TimcastIRL,right,3,1
videos,political,@TimcastNews,right,3,1
videos,political,@TimesNowWorld,neutral,2,2
videos,political,@TomiLahrenIsFearless,right,2,2
videos,political,@TuckerCarlson,neutral,2,2
videos,political,@USATODAY,neutral,0,0
videos,political,@UnHerd,left,1,0
videos,political,@Vaush,left,1,0
videos,political,@VivaFrei,right,2,2
videos,political,@Vox,left,0,0
videos,political,@X22Report-y5y,right,2,2
videos,political,@XAVIAER,right,1,0
videos,political,@Xanderhal,left,1,0
videos,political,@ZeihanonGeopolitics,neutral,1,0
videos,political,@ZubyMusic,right,1,0
videos,political,@aaronparnas1,left,2,2
videos,political,@adammockler,left,3,1
videos,political,@aljazeeraenglish,left,0,0
videos,political,@axios,neutral,0,0
videos,political,@bbrettcooper,right,1,0
videos,political,@bennyjohnson,right,1,0
videos,political,@breakingpoints,left,3,1
videos,political,@briantylercohen,left,0,0
videos,political,@bulwarkmedia,left,2,2
videos,political,@cafedotcom,left,2,2
videos,political,@chicksonright,right,1,0
videos,political,@chinainsights-r2w,neutral,2,2
videos,political,@chriscuomo,left,1,0
videos,political,@clayandbuck,right,1,0
videos,political,@deanwithrs,left,3,1
videos,political,@destiny,left,1,0
videos,political,@destinyhqclips,neutral,3,1
videos,political,@dineshdsouza,right,3,1
videos,political,@dollemore,left,3,1
videos,political,@fastpoliticspodcast,left,2,2
videos,political,@fightbackpodcast,right,1,0
videos,political,@franifio,left,1,0
videos,political,@glennbeck,right,1,0
videos,political,@harryjsisson,left,3,1
videos,political,@hutch,neutral,1,0
videos,political,@jimacosta,left,2,2
videos,political,@jlptalk,right,2,2
videos,political,@joerogan,neutral,3,1
videos,political,@judgingfreedom,left,1,0
videos,political,@katiephangnews,left,3,1
videos,political,@laurenchenclips,right,1,0
videos,political,@lizwheeler,right,1,0
videos,political,@lonerboxlive,right,2,2
videos,political,@lovettorleaveitpodcast,left,1,0
videos,political,@marclamonthillnetwork,left,2,2
videos,political,@markets,neutral,1,0
videos,political,@marklevinshow,right,1,0
videos,political,@morebridgetphetasy,right,1,0
videos,political,@moreperfectunion,left,1,0
videos,political,@msnow,left,0,0
videos,political,@nationalreview,right,1,0
videos,political,@newdiscourses,right,1,0
videos,political,@nousnetwork,left,1,0
videos,political,@nypost,right,1,0
videos,political,@nytimes,left,1,0
videos,political,@oann,right,1,0
videos,political,@podsaveamerica,left,1,0
videos,political,@ponderingpolitics,left,3,1
videos,political,@rolandsmartin,left,2,2
videos,political,@samharrisorg,left,1,0
videos,political,@thedavidpakmanshow,left,1,0
videos,political,@thegrayzone7996,left,0,0
videos,political,@thehill,neutral,0,0
videos,political,@theisabelbrown,right,1,0
videos,political,@thejimmydoreshow,neutral,1,0
videos,political,@therationalnational,left,1,0
videos,political,@thewarningwithsteveschmidt,left,1,0
videos,political,@thomhartmann,left,1,0
videos,political,@timesofindia,left,2,2
videos,political,@triggerpod,right,1,0
videos,political,@turningpointusa,right,1,0
videos,political,@underthedesknews,left,1,0
videos,political,@usefulidiots,left,1,0
videos,political,@wethefifth,neutral,2,2
videos,political,@winston_marshall,right,2,2
videos,political,@wsj,neutral,1,0
videos,political,@zeteo,left,2,2
videos,political,https://rumble.com/c/BannonsWarRoom,right,2,2
videos,political,https://rumble.com/c/GGreenwald,left,2,2
videos,political,https://rumble.com/c/TheAlexJonesShowLive,right,0,0
videos,political,https://rumble.com/c/nickjfuentes,right,3,1
