genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
videos,all,@RestPoliticsUS,left,@MrTariqNasheed,@AndrewKlavan,@judgingfreedom,@nousnetwork,@ColemanHughesOfficial,right,right,left,left,right,2.06,2.094,2.194,2.204,2.207
videos,all,@Reuters,neutral,@aljazeeraenglish,@CBSNews,@ABCNews,@AssociatedPress,@NBCNews,left,neutral,neutral,neutral,neutral,1.138,1.666,1.669,1.685,1.947
videos,all,@RileyGaines,right,@KimIversen,@Xanderhal,@CamHigby,@RealDanBongino,@AlexStein99,neutral,left,right,right,right,1.293,1.311,1.489,1.542,1.574
videos,all,@RobertGouveiaEsq,right,@DueDissidence,@breakingpoints,@destinyhqclips,@usefulidiots,@ActualJusticeWarrior,left,left,neutral,left,right,2.186,2.226,2.414,2.509,2.525
videos,all,@RonPlacone,left,@Semafor,@underthedesknews,@clayandbuck,@MegynKelly,@MichaelMaliceofficial,neutral,left,right,right,right,1.95,2.113,2.637,2.731,2.788
videos,all,@RubinReport,right,@ChadPrather1,@PTLRadioShow,https://rumble.com/c/GGreenwald,@laurenchenclips,@MyronGainesX,right,left,left,right,right,1.657,1.668,1.775,1.841,1.903
videos,all,@RufoandLomez,right,@Politicon,@XAVIAER,@MrTariqNasheed,@judgingfreedom,@nousnetwork,left,right,right,left,left,1.706,1.814,1.891,1.929,1.972
videos,all,@SMN,left,@JillianMichaels,@KimIversen,@JustPearlyThings,@RileyGaines,@samharrisorg,right,neutral,right,right,left,1.284,1.626,1.658,1.771,1.778
videos,all,@SabbySabs,left,@breakingpoints,@TheYoungTurks,@DueDissidence,@ActualJusticeWarrior,@NovaraMedia,left,left,left,right,left,2.112,2.124,2.161,2.269,2.53
videos,all,@SaltyCracker,right,@FarronBalanced,@JackCocchiarellaShow,@GrahamAllen,@JesseKellyDC,@OwenReport,left,left,right,right,left,0.818,1.095,1.173,1.302,1.339
videos,all,@SecretScholars,right,@MyronGainesX,@RebelHQ,@TheDamageReport,@chicksonright,@usefulidiots,right,left,left,right,left,2.768,2.8,2.817,2.895,2.945
videos,all,@SecularTalk,left,@StatusCoup,@TheOfficerTatum,@deanwithrs,@LegalAFMTN,@DoubleDownNews,left,right,left,left,left,2.009,2.174,2.254,2.304,2.858
videos,all,@Semafor,neutral,@RonPlacone,@marclamonthillnetwork,@TheAdamCarollaShow1,@clayandbuck,@MegynKelly,left,left,right,right,right,1.95,2.063,2.455,2.534,2.849
videos,all,@SkyNews,left,@CNN,@BBCNews,@CBSNews,@RebelNewsOnline,@AssociatedPress,left,neutral,neutral,right,neutral,1.411,1.482,1.832,1.92,2.055
videos,all,@StatusCoup,left,@SecularTalk,@RealAmericasVoice,@DueDissidence,@breakingpoints,@lonerboxlive,left,right,left,left,right,2.009,2.6,2.636,2.642,2.904
videos,all,@StevenCrowder,right,@BenShapiro,@KimIversen,@bbrettcooper,@RealDanBongino,@AlexStein99,right,neutral,right,right,right,1.152,1.277,1.35,1.363,1.393
videos,all,@Styxhexenhammer666,right,@ThePodcastoftheLotusEaters,@hutch,@AlexStein99,@franifio,@DylanBurnsLIVE,right,neutral,right,left,left,1.36,1.421,1.531,1.581,1.597
videos,all,@SydneyWatson,right,@The_Crucible,@Xanderhal,https://rumble.com/c/russellbrand,@adammockler,@CamHigby,right,left,right,left,right,3.281,3.529,3.567,3.619,3.714
videos,all,@TechCrunch,neutral,@RebelNewsOnline,@axios,@morebridgetphetasy,@SkyNews,@CBSNews,right,neutral,right,left,neutral,2.438,2.511,2.532,2.536,2.675
videos,all,@TheAdamCarollaShow1,right,@thejimmydoreshow,@lovettorleaveitpodcast,@fightbackpodcast,@HasanReactionsfanTwo,@clayandbuck,neutral,left,right,left,right,1.379,1.396,1.628,1.745,1.763
videos,all,@TheAmalaEkpunobi,right,@KimIversen,@StevenCrowder,@CamHigby,@AlexStein99,@RileyGaines,neutral,right,right,right,right,1.434,1.566,1.641,1.666,1.684
videos,all,@TheAtlantic,left,@EzraKleinShow,@LeejaMiller,@AndrewKlavan,@theisabelbrown,@chriscuomo,left,left,right,right,left,1.529,1.606,1.699,1.777,1.84
videos,all,@TheBrianKilmeadeShow,right,@zeteo,@winston_marshall,@JillianMichaels,@lonerboxlive,@BlazeTV,left,right,right,right,right,1.797,2.185,2.222,2.337,2.479
videos,all,@TheDailyBeast,left,@nationalreview,@nytimes,@wsj,@ajplus,@chriscuomo,right,left,neutral,left,left,1.955,2.538,2.788,3.038,3.093
videos,all,@TheDamageReport,left,@RebelHQ,@usefulidiots,@SecretScholars,@JackCocchiarellaShow,@chicksonright,left,left,right,left,right,2.389,2.613,2.817,2.863,2.863
videos,all,@TheDonLemonShow,left,@OwenReport,@TheJoyReidShow,@judgingfreedom,@fightbackpodcast,@clayandbuck,left,left,left,right,right,1.222,1.35,1.404,1.448,1.494
videos,all,@TheEconomist,left,@Vox,@nationalreview,@TheDailyBeast,@GeopoliticalEconomyReport,@BBCNews,left,right,left,left,neutral,3.586,4.288,4.446,4.72,4.72
videos,all,@TheHumanistReport,left,@ChadPrather1,@FreshFitMiami,@RubinReport,@therationalnational,@HasanabiClips,right,right,right,left,left,1.732,1.809,2.12,2.211,2.233
videos,all,@TheJoyReidShow,left,@hutch,@TheDonLemonShow,@underthedesknews,@Styxhexenhammer666,@OwenReport,neutral,left,left,right,left,1.261,1.35,1.514,1.671,1.691
videos,all,@TheLincolnProject,left,@destiny,@TheMajorityReport,@hutch,@GlennKirschner2,@LIVESNEAKO,left,left,neutral,left,neutral,1.205,1.43,1.5,1.557,1.678
videos,all,@TheMajorityReport,left,@LIVESNEAKO,@NovaraMedia,@OwenReport,@destiny,@FarronBalanced,neutral,left,left,left,left,1.056,1.121,1.199,1.235,1.262
videos,all,@TheMichaelCohenShow,left,@Xanderhal,@chicksonright,@CamHigby,@PTLRadioShow,@GrahamAllen,left,right,right,left,right,1.538,1.628,1.684,1.685,1.702
videos,all,@TheOfficerTatum,right,@LegalAFMTN,@deanwithrs,@MeidasTouch,@katiephangnews,@SecularTalk,left,left,left,left,left,1.455,1.847,2.107,2.174,2.174
videos,all,@ThePodcastoftheLotusEaters,right,@Styxhexenhammer666,@ZeihanonGeopolitics,@franifio,@BenShapiro,@AlexStein99,right,neutral,left,right,right,1.36,1.426,1.478,1.669,1.732
videos,all,@TheQuartering,right,@TimcastNews,@deanwithrs,@TheOfficerTatum,@JacksonHinkleOfficial,@LegalAFMTN,right,left,right,neutral,left,1.928,1.93,2.294,2.315,2.679
videos,all,@TheRealTabithaSpeaks,left,@wethefifth,@TheJoyReidShow,@DemocracyDocket,@NYTPodcasts,@TheDonLemonShow,neutral,left,left,left,left,2.106,2.11,2.12,2.14,2.244
videos,all,@TheSerfTimes,left,@axios,@LIVESNEAKO,@FarronBalanced,@TheYoungTurks,@chicksonright,neutral,neutral,left,left,right,1.897,2.001,2.083,2.116,2.118
videos,all,@TheVaushPit,left,@Vaush,@JustPearlyThings,@KimIversen,@bbrettcooper,@TheAmalaEkpunobi,left,right,neutral,right,right,0.957,1.519,1.637,1.65,1.691
videos,all,@TheYoungTurks,left,@NovaraMedia,@BadEmpanadaLive,@OwenJonesTalks,@JesseKellyDC,@FarronBalanced,left,left,left,right,left,1.151,1.234,1.375,1.544,1.593
videos,all,@The_Crucible,right,@destinyhqclips,@BrittanyVenti,https://rumble.com/c/russellbrand,@adammockler,@TheYoungTurks,neutral,neutral,right,left,left,1.79,2.207,2.308,2.321,2.543
